song|artist|lyrics|genre|emotion_4Q|emotion_2Q
Gangsta Gangsta|N.W.A|"[Skit: Krazy D,  Eazy-E ,  Dr. Dre ,  MC Ren ] *Sirens* Ah, shit! Man, them pinche black gangstas are at it again I wonder who they fucked up today? *Screeching Tires* You, muthafucka! *Machine Gun Fire* Got him Pull over to the side right now Man, fuck them motherfuckers!  [Intro: Eazy-E & Sample] Yo, Dre! Gimme a funky-ass bassline! Right here!  [Verse 1: Ice Cube] Here's a little somethin' 'bout a nigga like me Never should've been let out the penitentiary Ice Cube would like to say That I'm a crazy motherfucker from around the way Since I was a youth, I smoked weed out Now I'm the motherfucker that you read about Takin' a life or two, that's what the hell I do You don't like how I'm livin'? Well, fuck you! This is a gang, and I'm in it My man Dre'll fuck you up in a minute With a right-left, right left ya toothless And then you say ""Goddamn, they ruthless!"" Everywhere we go they say, ""Damn!"" N.W.A's fuckin' up the program And then you realize we don't care We don't just say no, we're too busy sayin', ""Yeah!"" About drinkin' straight out the eight bottle Do I look like a motherfuckin' role model? To a kid lookin' up to me Life ain't nothin' but bitches and money  [Pre-Chorus: Ice Cube] 'Cause I'm the type of nigga that's built to last If you fuck with me, I'll put my foot in your ass See, I don't give a fuck, 'cause I keep bellin' Yo! What the fuck are they yellin'?  [Chorus: MC Ren & Sample] Gangsta! Gangsta! That's what they yellin' It's not about a salary, it's all about reality Gangsta! Gangsta! Hopin' you sophisticated motherfuckers hear what I have to say  [Verse 2: Ice Cube] When me and my posse stepped in the house All the punk-ass niggas start breakin' out 'Cause you know, they know what's up So we started lookin' for the bitches with the big butts Like her, but she keep cryin' ""I got a boyfriend"" ; bitch, stop lyin'! Dumb-ass hooker ain't nothin' but a dyke Suddenly, I see some niggas that I don't like Walked over to 'em, and said, ""What's up?"" The first nigga that I saw, hit him in the jaw Ren started stompin' him, and so did E By that time, got rushed by security Out the door, but we don't quit Ren said  ""Let's start some shit!"" I got a shotgun, and here's the plot: Takin' niggas out with a flurry of buckshots Boom! Boom! Boom! Yeah, I was gunnin' And then you look, all you see is niggas runnin' And fallin' and yellin' and pushin' and screamin' and cussin' I stepped back and I kept bustin' And then I realized it's time for me to go So I stopped, jumped in the vehicle It's like this, because of that who-ride N.W.A is wanted for a homicide  [Pre-Chorus: Ice Cube] 'Cause I'm the type of nigga that's built to last Fuck with me, I'll put my foot in your ass See, I don't give a fuck, 'cause I keep bellin' Yo, what the fuck are they yellin'?  [Chorus: MC Ren & Sample] Gangsta! Gangsta! That's what they yellin' It's not about a salary, it's all about reality Gangsta! Gangsta! He'll tell you exactly how he feel And don't hold a fuckin' thing back  [Verse 3: Ice Cube] Homies all standin' around, just hangin' Some dope-dealin', some gang-bangin' We decide to roll and we deep See a nigga on Daytons and we creep Real slow, and before you know I had my shotgun pointed in the window He got scared and hit the gas Right then I knew I had to smoke his ass He kept rollin', I jumped in the bucket We couldn't catch him, so I said fuck it Then we headed right back to the fort Sweatin' all the bitches in the biker shorts We didn't get no play from the ladies With six niggas in a car; are you crazy? She was scared, and it was showin' We all said, ""Fuck you, bitch!"" and kept goin' To the hood, and we was fin' to Find somethin' else to get into Like some pussy, or in fact A bum rush, but we call it rat pack On a nigga for nothin' at all Ice Cube'll go stupid when I'm full of eight ball I might stumble, but still won't lose Now I'm dressed in the county blues  [Pre-Chorus: Ice Cube] 'Cause I'm the type of nigga that's built to last If you fuck with me, I'll put my foot in your ass I don't give a fuck, 'cause I keep bellin' Yo! What the fuck are they yellin'?  [Interlude: Dr. Dre, MC Ren & The Jimmy Castor Bunch] Wait a minute, wait a minute, cut this shit! Man, what'cha gon' do now? ( What we're gonna do right here is go back ) How far you goin' back? ( Way back ) ""As we go a lil' somethin' like this — hit it!""  [Pre-Verse: Ice Cube] Here's a little gangsta, short in size A t-shirt and Levi's is his only disguise Built like a tank, yet hard to hit Ice Cube and Eazy-E cold runnin' shit!  [Verse 4: Eazy-E & MC Ren] Well, I'm Eazy-E, the one they're talkin' about Nigga tried to roll the dice and just crapped out Police tried to roll, so it's time to go I creeped away real slow and jumped in the six-fo' With the (diamond in the back, sun-roof top) Diggin' the scene with the gangsta lean 'Cause I'm the E, I don't slang or bang I just smoke motherfuckers like it ain't no thang! And all you bitches, you know I'm talkin' to you ""We wanna fuck you, Eazy!""  I wanna fuck you too! Because, you see, I don't really take no shit So let me tell ya motherfuckers who you fuckin' with  [Pre-Chorus: Eazy-E] 'Cause I'm the type of nigga that's built to last If you fuck with me, I'll put a foot in your ass I don't give a fuck, 'cause I keep bellin' Yo! What the fuck are they yellin'?  [Chorus: MC Ren & Sample] Gangsta! Gangsta! That's what they yellin' It's not about a salary, it's all about reality Gangsta! Gangsta He'll fuck up you and yours And anything that gets in his way Gangsta! Gangsta! That's what they yellin' It's not about a salary, it's all about reality Gangsta! Gangsta He'll just call you a low-life muthafucka And talk about yo' funky ways"|Hip-Hop|angry|negative
You Ruined Everything|Jonathan Coulton|[Verse 1] I was fine, I pulled myself together Just in time to throw myself away Once my perfect world was gone I knew You ruined everything in the nicest way  [Verse 2] You should know how great things were before you Even so, they're better still today I can't think of who I was before You ruined everything in the nicest way  [Bridge] Bumps in the road remind us The worst of the best behind us Only good things will find us, me and you Days will be clear and sunny We're gonna need more money Baby you know it's funny All those stories coming true  [Verse 3] Despite my better efforts it's all for you The worst kind of cliche I'll be with you 'til the day you leave You ruined everything in the nicest way||happy|positive
One Way Or Another|Blondie|[Instrumental]  [Verse 1] One way or another, I'm gonna find ya I'm gonna get ya, get ya, get ya, get ya One way or another, I'm gonna win ya I'm gonna get ya, get ya, get ya, get ya One way or another, I'm gonna see ya I'm gonna meet ya, meet ya, meet ya, meet ya One day, maybe next week, I'm gonna meet ya I'm gonna meet ya, I'll meet ya  [Chorus] I will drive past your house And if the lights are all down I'll see who's around  [Verse 2] One way or another, I'm gonna find ya I'm gonna get ya, get ya, get ya, get ya One way or another, I'm gonna win ya I'll get ya, I'll get ya One way or another, I'm gonna see ya I'm gonna meet ya, meet ya, meet ya, meet ya One day, maybe next week, I'm gonna meet ya I'll meet ya  [Chorus] And if the lights are all out I'll follow your bus downtown See who's hangin' out  [Instrumental]  [Verse 3] One way or another, I'm gonna lose ya I'm gonna give you the slip A slip of the hip or another, I'm gonna lose you I'm gonna trick ya, I'll trick ya One way or another, I'm gonna lose ya I'm gonna trick ya, trick ya, trick ya, trick ya One way or another, I'm gonna lose ya I'm gonna give you the slip  [Bridge] I'll walk down the mall, stand over by the wall Where I can see it all, find out who you call Lead you to the supermarket checkout Some specials and rat food, get lost in the crowd  [Outro] One way or another, I'm gonna get ya (Where I can see it all, find out who you call) I'll get ya, I'll get ya, get ya, get ya, get ya One way or another, I'm gonna get ya (Where I can see it all, find out who you call) I'll get ya, I'll get ya, get ya, get ya, get ya One way or another, I'm gonna get ya (Where I can see it all, find out who you call) I'll get ya, I'll get ya, get ya, get ya, get ya One way or another, I'm gonna get ya (Where I can see it all, find out who you call) I'll get ya, I'll get ya, get ya, get ya, get ya One way or another, I'm gonna get ya (Where I can see it all, find out who you call) I'll get ya, I'll get ya, get ya, get ya, get ya One way or another, I'm gonna get ya (Where I can see it all, find out who you call) I'll get ya, I'll get ya, get ya, get ya, get ya One way or another–|New Wave|happy|positive
Walking Away|Brother Ali|[Intro] Go ahead and wager that you never listen to another song of mine I can't say I blame you either Cause if you made records you ain't gonna catch me listening to that shit But if you do I just want you to know, I didn't make this to hurt you God knows, you done hurt enough Just... I don't know, try to make some real shit, you know  [Verse 1] Bye, you ain't never gonna see me again If I can help it, little fellow take it easy Fresh out of forced tears, kisses and hugs You about to lose the company your misery loves Ain't never did nothing but try to kill your disease At least help the symptoms, instead you infected me I'm not the kind of man to draw a line in the sand If you gotta draw at all then it's time for you to scram P.S., you can keep all this shit And hang around your broke friends and call yourself rich The struggling I did with you was all for nothin' It was never enough, your heart set on suffering I admit that I was weak in the beginnin' I wanted someone to need me instead of a friendship I didn't think I deserved a true partner So I transferred the arrangement I had with my mama  [Bridge] Since you never listen to a word I ever said Maybe seeing this door slam, will get it through your head I don't love you, I don't think I ever did And if you hadn't tried to kill me, I'd stayed for the kid  [Hook] X 2 There's nothin'more for us to say Got my mind made up, I'm walking away Sometimes we just outgrow the role that we play Hope you find a happy ending to you story someday  [Verse 2] Round and round and round we used to go I never fucked you right or made enough bread, I know If I'm such a bastard, and mistreated you so Then how is it you're losing your mind to see me go? Truth be told, I held you together For all them years, and I cheated on you never Defended your honor, took in your mama When she tried to rehab and had you back through the drama You got a sick stone under your ribs Where a heart is suppose to live Sick, twisted and vindictive, with your windows dim Baby, you're not wicked hard bull fish, you must shiver How you threaten to kill the most precious Gift that you'll ever be blessed with? Unless you're twisted, demented and depressed and shit And alone cause you faithfully slayed your friendships  [Bridge]  [Hook] X 2|Hip-Hop|sad|negative
I Kissed A Girl|Katy Perry|[Verse 1] This was never the way I planned Not my intention I got so brave, drink in hand Lost my discretion It's not what I'm used to Just wanna try you on I'm curious for you Caught my attention  [Chorus] I kissed a girl and I liked it The taste of her cherry ChapStick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it  [Verse 2] No, I don't even know your name It doesn't matter You're my experimental game Just human nature It's not what good girls do Not how they should behave My head gets so confused Hard to obey  [Chorus] I kissed a girl and I liked it The taste of her cherry ChapStick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it  [Bridge] Us girls, we are so magical Soft skin, red lips, so kissable Hard to resist, so touchable Too good to deny it Ain't no big deal, it's innocent  [Chorus] I kissed a girl and I liked it The taste of her cherry ChapStick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it|Pop|happy|positive
Mandatory Suicide|Slayer|[Verse 1] Murder at your every footstep A child's toy, sudden death Sniper blazes you through your knees Falling down, can you feel the heat? Burn!  [Verse 2] Ambushed by the spray of lead Count the bullet holes in your head Offspring sent out to cry Living mandatory suicide  [Chorus] Suicide Suicide Suicide Suicide  [Guitar Solo: Jeff Hanneman]  [Verse 3] Holes burn deep in your chest Raked by machine gun fire Screaming soul sent out to die Living mandatory suicide  [Chorus] Suicide Suicide Suicide Suicide  [Outro] Lying, dying, screaming in pain Begging, pleading, bullets drop like rain Mines explode, pain shears through your brain Radical amputation, this is insane Flyswatter stakes drive through your chest Spikes impale you as you're forced off the crest Soldier of misfortune Hunting with bated breath A vile smell, like tasting death Dead bodies, dying and wounded Litter the city streets Shattered glass, bits of clothing and human deceit Dying in terror Blood's cheap, it's everywhere Mandatory suicide, massacre on the front line  Burn!|Thrash Metal|angry|negative
Winter Lady|Leonard Cohen|[Verse 1] Traveling lady, stay awhile Until the night is over I'm just a station on your way I know I am not your lover  [Bridge 1] Well I lived with a child of snow When I was a soldier And I fought every man for her Until the nights grew colder  [Verse 2] She used to wear her hair like you Except when she was sleeping And then she'd weave it on a loom Of smoke and gold and breathing  [Bridge 2] And why are you so quiet now Standing there in the doorway? You chose your journey long before You came upon this highway  [Verse 1] Traveling lady, stay awhile Until the night is over I'm just a station on your way I know I'm not your lover|Folk|sad|negative
This Sweet Love|James Yuill|Be the greatest man in history The greatest man that you can be Just be Walk, walk out on the beach with me Walk out in the sea with me Just be All of the time you show me your love Sweet love And oh, how you know This sweet love Nights, cold nights wrapped in ecstasy Those times still perplexing be They just be All of the time you show me your love Sweet love And oh, how you know This sweet love All of the time you show me your love Sweet love And oh, how you know This sweet love This sweet love This sweet love This sweet love||relaxed|positive
Merrymaking At My Place|Calvin Harris|[Intro] Oh, oh, oh Oh, oh, oh Oh, oh, oh  [Chorus] Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking  [Verse 1] Come in to my house (Oh) You're invited into my house (Oh) Entering the back of my house (Oh) Welcoming you into my house Come in to my house (Oh) You're invited into my house (Oh) Entering the back of my house (Oh) Welcoming you into my house I've invited loads to my house (Oh) Loads of people come to my house (Oh) They take stuff inside of my house (Oh) And smoke stuff outside of my house  [Chorus] Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking  [Verse 2] Well, I've seen it before (Oh) Lots of people at my front door (Oh) Lots of people in my front door (Oh) Trying to get into my house Well, I've seen it before (Oh) Lots of people in my front door (Oh) Lots of people at my front door (Oh) Trying to get into my house  [Chorus] Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking  [Verse 3] We're merrymaking (Oh) All the stuff that you've being taking (Oh) All the stuff that I've being taking (Oh) All the stuff that we've being taking We're merrymaking (Oh) All the stuff that we've being taking (Oh) All the stuff that I've being taking (Oh) All the stuff that you've being taking  [Chorus] Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking, drug taking (Oh) At my place, baby, at my place  [Bridge] Merrymaking Drug taking  [Chorus] Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking, drug taking (Oh) At my place, baby, at my place Merrymaking  [Outro] Oh, oh, oh Oh, oh, oh Merrymaking|Electronic|happy|positive
One Last Time|The Kooks|[Verse 1] Can I hold you one last time? To fight the fear that is growing in my mind I know I did us both all so wrong I know I'm not always all that strong A, B, C, D, E, F and G Oh, that reminds me of when we were free Before life began to tear us apart Remember those classes when we thought we were so smart?  [Chorus] Ooooooooh Ooooooooh  [Verse 2] We were lovers in every way Left school together, went back to my place Now I can hardly remember her face Before I met her I was sad  [Chorus] Ooooooooh Ooooooooh  [Outro] And can I hold you one last time? To fight this fear that is growing in my mind|Indie|sad|negative
You Make Me Feel (Mighty Real)|Sylvester|[Verse 1] When we're out there dancing on the floor, darlin' And I feel like I need some more And I feel your body close to mine And I know my love, it's about that time Make me feel mighty real Make me feel mighty real  [Chorus] You make me feel mighty real You make me feel mighty real  [Verse 2] When we get home, darling, and it's nice and dark And the music's in me and I'm still real hot Then you kiss me there and it feels real good And I know you'll love me like you should  [Chorus] Oh, you make me feel mighty real You make me feel mighty real Make me feel mighty real Make me feel mighty real Make me feel mighty real Make me feel mighty real  [Post-Chorus] I feel real, I feel real I feel real, I feel real Real real, I feel real I feel real, I feel real, woo  [Instrumental Break]  [Bridge] I feel real, I feel real I feel real, real real Woo, I feel real Woo, I feel real I feel real, real real I feel real, I'm real real  [Chorus] You make me feel mighty real You make me feel mighty real Oh, you make me feel mighty real You make me feel mighty real  [Post-Chorus] Oh, I feel real when you touch me I feel real when you kiss me I feel real when you touch me I feel real when you hold me  [Instrumental Break]  [Outro] Woo, woo Woo, woo Woo, you make me feel real||happy|positive
You're The One|SWV|[Spoken] You're-the one-for-me  [Intro] (You're the one for me) You're the one (You can call on me) Oh, yes (Is all I want us to be) Oh, yeah (You're the one for me)  [Verse 1] I know that you're somebody else's guy But these feelings that I have for you I can't deny She doesn't treat you the way you want her to So come on stop running, I wanna get with you  [Pre-Chorus] What your girl don't know won't hurt her Anything to make this love go further  [Chorus] You're the one (You're the one for me) When in need (You can call on me) When in love (Is all I want us to be) Cause you're the one (You're the one for me)  [Verse 2] This can be an undercover romance Cause I feel that I'm the type of girl You should give a chance Taste and see ( taste and see ) How good it can be ( how good it can be ) Cause you don't have to worry, baby  [Pre-Chorus] What your girl don't know won't hurt her Anything to make this love go further  [Chorus] You're the one (You're the one for me) When in need (You can call on me) When in love (Is all I want us to be) Cause you're the one (You're the one for me)  [Bridge] So what's my chance (I'm willing to do anything to get) In your pants (You don't have to worry, I won't) Say a thing (And if she finds out, I don't) Know nothing, oh no (No, no)  [Chorus] You're the one (You're the one for me) When in need (You can call on me) When in love (Is all I want us to be) Cause you're the one (You're the one for me)  [Segue] You're the one for me When in love you need You're the one for me When in love you need  [Chorus] You're the one (You're the one for me) When in need (You can call on me) When in love (Is all I want us to be) Cause you're the one (You're the one for me)|Pop|happy|positive
Love Comes in Spurts|Richard Hell & the Voidoids|I was a child Who wanted love that was wild Though tight as slow motion But crazed with devotion  Insane with devotion A whole other notion I was fourteen and a half And it wasn't no laugh  Love comes in spurts - oh no it hurts Love comes in spurts - it hurts Love comes in spurts - oh no, cause Love comes in spurts - it always hurts  I just can't get wise To those tragical lies Though I now know the facts They still cut like an axe  Cause love comes in spurts In dangerous flirts And it murders your heart They didn't tell you that part  Love comes in spurts Love comes in spurts Love comes in spurts Love comes in spurts  Love comes in spurts Love comes in spurts Love comes in spurts Love comes in spurts||happy|positive
Toxic|Britney Spears|[Verse 1] Baby, can't you see I'm callin'? A guy like you should wear a warnin' It's dangerous, I'm fallin' There's no escape, I can't wait I need a hit, baby, give me it You're dangerous, I'm lovin' it  [Pre-Chorus] Too high, can't come down Losing my head, spinnin' 'round and 'round Do you feel me now?  [Chorus] With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic?  [Verse 2] It's gettin' late to give you up I took a sip from my devil's cup Slowly, it's takin' over me  [Pre-Chorus] Too high, can't come down It's in the air and it's all around Can you feel me now?  [Chorus] With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic? Don't you know that you're toxic?  [Instrumental Break]  [Chorus] Taste of your lips, I'm on a ride You're toxic, I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under (Toxic) With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic?  [Outro] Intoxicate me now with your lovin' now I think I'm ready now (I think I'm ready now) Intoxicate me now with your lovin' now I think I'm ready now|Pop|angry|negative
In Da Club|50 Cent|"Go, go Go, go, go, go Go, shawty, it's your birthday We gon' party like it's your birthday We gon' sip Bacardí like it's your birthday And you know we don't give a fuck it's not your birthday [Chorus] You can find me in the club, bottle full of bub' Look, mami, I got the X if you into takin' drugs I'm into havin' sex, I ain't into makin' love So come give me a hug if you into gettin' rubbed You can find me in the club, bottle full of bub' Look, mami, I got the X if you into takin' drugs I'm into havin' sex, I ain't into makin' love So come give me a hug if you into gettin' rubbed [Verse 1] When I pull up out front, you see the Benz on dubs (Uh-huh) When I roll twenty deep, it's twenty nines in the club (Yeah) Niggas heard I fuck with Dre, now they wanna show me love When you sell like Eminem, then the hoes, they wanna fuck (Woo) Look homie, ain't nothin' changed, hoes down, G's up I see Xzibit in the cut, hey, nigga, roll that weed up (Roll that) If you watch how I move, you'll mistake me for a player or pimp Been hit with a few shells, but I don't walk with a limp (I'm aight) In the hood in L.A., they sayin', ""50, you hot"" (Uh-huh) They like me, I want 'em to love me like they love Pac But holla in New York, the niggas'll tell you I'm loco (Yeah) And the plan is to put the rap game in a chokehold (Uh-huh) I'm fully focused, man, my money on my mind Got a mil' out the deal and I'm still on the grind (Woo) Now shawty said she feelin' my style, she feelin' my flow (Uh-huh) Her girlfriend with her, they bi and they ready to go (Okay)"|Hip-Hop|happy|positive
