term,arousal
frightened,0.817
frightening,0.969
frightful,0.755
frisbee,0.543
frisk,0.547
frisky,0.632
frivolous,0.565
froggy,0.56
frolic,0.864
frontier,0.55
frown,0.602
frowning,0.582
fruitful,0.618
fruition,0.567
fruitless,0.58
frustrate,0.809
frustrated,0.651
frustrates,0.653
frustrating,0.696
frustration,0.73
fry,0.61
fuck,0.93
fuckedoff,0.696
fucker,0.788
fucking,0.812
fuckoff,0.7
fucksake,0.702
fucktard,0.643
fuckyeah,0.811
fuel,0.528
fugitive,0.922
fulfillment,0.528
fullback,0.594
fulsome,0.509
fumble,0.551
fumigation,0.627
fuming,0.66
fun,0.843
functional,0.5
funday,0.549
fundraiser,0.577
fundraising,0.62
funk,0.589
funky,0.755
funny,0.61
furious,0.953
furiously,0.925
furnace,0.529
furor,0.863
fury,0.875
fuse,0.565
fuselage,0.558
fusion,0.561
fuss,0.876
fussy,0.643
fustrated,0.684
future,0.644
gadget,0.559
gag,0.66
gaggle,0.529
gahhh,0.557
gaiety,0.759
gain,0.64
gainful,0.589
gaining,0.618
galactic,0.67
galaxy,0.571
gale,0.691
gall,0.51
gallant,0.539
gallantry,0.663
galled,0.731
gallop,0.775
galloping,0.735
gallows,0.712
galore,0.574
gamble,0.798
gambler,0.694
gambling,0.806
game,0.788
gameday,0.593
gametime,0.571
gaming,0.633
gang,0.85
gangland,0.607
gangrene,0.653
gangster,0.833
gangway,0.575
gaol,0.75
gape,0.651
gaping,0.668
garbage,0.51
garbled,0.72
gargle,0.594
gargoyle,0.536
garish,0.625
garrison,0.527
gash,0.56
gasification,0.509
gasoline,0.562
gasp,0.754
gasping,0.704
gastric,0.559
gastronomy,0.519
gather,0.51
gathering,0.657
gator,0.52
gatorade,0.529
gaudy,0.735
gauge,0.646
gay,0.587
gaze,0.588
gazillion,0.534
gear,0.577
geisha,0.679
gelding,0.52
generative,0.549
generator,0.568
genial,0.63
genie,0.6
genital,0.694
genitalia,0.667
genius,0.667
genocide,0.878
germane,0.5
germs,0.51
gestation,0.538
get,0.594
getaway,0.76
getup,0.582
getyourown,0.547
ghastly,0.79
ghetto,0.63
ghost,0.755
ghostly,0.764
ghoul,0.561
giant,0.814
gibberish,0.51
giddy,0.847
gift,0.539
gifted,0.647
gifts,0.755
gig,0.755
gigantic,0.776
giggle,0.618
giggles,0.684
giggling,0.726
gigolo,0.706
gills,0.583
gimmick,0.663
gin,0.551
girl,0.572
girlfriend,0.763
girlie,0.54
giveaway,0.618
glad,0.76
gladiator,0.833
gladness,0.67
glamorous,0.63
glamour,0.606
glare,0.735
glaring,0.794
glaucoma,0.5
gleam,0.52
gleaming,0.635
glean,0.531
glee,0.58
gleeful,0.806
glide,0.706
glider,0.548
glint,0.538
glisten,0.608
glitter,0.75
glittering,0.588
gloat,0.637
global,0.52
glorification,0.541
glorified,0.57
glorify,0.591
glorious,0.673
glory,0.735
glossy,0.519
glow,0.5
glowing,0.62
glut,0.524
glutton,0.519
gluttony,0.702
gobble,0.623
goblin,0.542
god,0.518
goddamn,0.76
goddamned,0.758
goddess,0.56
godforsaken,0.52
godisgreat,0.596
godless,0.557
godlike,0.648
godsend,0.562
godson,0.515
gofuckyourself,0.654
gold,0.686
gong,0.529
gonorrhea,0.635
goodies,0.622
goodmusic,0.5
goodnews,0.74
goodtimes,0.526
goodvibes,0.5
goofball,0.55
gooood,0.652
gore,0.608
gorge,0.644
gorgeous,0.56
gorilla,0.72
gory,0.875
gossip,0.765
govern,0.702
governess,0.5
governing,0.7
government,0.53
governmental,0.541
governor,0.683
grab,0.706
graceful,0.51
gracious,0.634
grad,0.538
gradschool,0.602
graduate,0.549
graduation,0.67
graffiti,0.633
graft,0.528
grand,0.74
grand theft auto,0.663
grandchildren,0.545
grandeur,0.796
grandiose,0.682
grandstand,0.679
grantor,0.5
grapple,0.577
grappling,0.676
grasp,0.623
grasping,0.561
gratification,0.643
gratified,0.519
gratify,0.539
gratifying,0.606
gratis,0.51
gratuitous,0.65
gratuity,0.5
graver,0.622
gravitation,0.592
gravitational,0.51
gravity,0.635
greaser,0.518
great,0.665
great anticipation,0.735
great disgust,0.836
great surprise,0.941
great trust,0.528
greatday,0.571
greater,0.519
greatest,0.627
greatfriends,0.593
greatful,0.571
greatly,0.708
greatly negative,0.64
greatly positive,0.538
greatness,0.75
greed,0.78
greedy,0.66
green snake,0.634
greet,0.539
greeting,0.556
grenade,0.777
grief,0.64
grievance,0.635
grieve,0.5
grieving,0.673
grievous,0.64
grilled,0.5
grime,0.5
grimy,0.597
grin,0.57
grinder,0.615
grip,0.549
gripe,0.526
grisly,0.863
grizzly,0.679
groan,0.75
grocery,0.54
groom,0.5
groovy,0.538
grope,0.559
gross,0.575
grotesque,0.788
grouch,0.593
grouchy,0.708
grounded,0.601
groundless,0.535
grounds,0.5
groupie,0.583
grouping,0.58
grovel,0.5
grow,0.615
growl,0.764
growling,0.887
growls,0.675
growth,0.588
growthefuckup,0.692
grr,0.538
grrr,0.755
grrrrr,0.633
grubby,0.583
grudge,0.647
grudging,0.636
grudgingly,0.61
grueling,0.763
gruesome,0.837
gruff,0.611
grumble,0.75
grumpy,0.808
grunt,0.798
grunting,0.827
guard,0.51
guarded,0.686
guardian,0.686
guards,0.663
gubernatorial,0.604
guerilla,0.845
guerrilla,0.917
guesser,0.67
guidelines,0.5
guiding,0.52
guillotine,0.817
guilt,0.567
guilty,0.77
guise,0.547
guitar,0.542
guitarist,0.74
gully,0.519
gulp,0.66
gumption,0.538
gun,0.92
gunboat,0.663
gunfight,0.961
gunfighter,0.91
gunfire,0.93
gunman,0.922
gunmen,0.942
gunner,0.853
gunnery,0.861
gunplay,0.906
gunpoint,0.817
gunpowder,0.853
gunshot,0.953
gunslinger,0.873
gusher,0.52
gust,0.755
gusto,0.729
gusty,0.631
guts,0.649
gutsy,0.573
guzzler,0.537
gym,0.69
gymnasium,0.561
gymnast,0.76
gymnastic,0.706
gymnastics,0.677
gynecologist,0.566
gynecology,0.59
gypsy,0.665
hack,0.717
hacker,0.755
hacksaw,0.645
hadenough,0.566
hag,0.695
haggard,0.51
haggle,0.601
hail,0.627
hairdresser,0.509
hallelujah,0.554
hallowed,0.5
hallucination,0.706
halting,0.596
hamburger,0.551
hammer,0.509
hammering,0.779
hamper,0.711
handcuff,0.59
handgun,0.914
handle,0.571
handler,0.593
handshake,0.654
handsome,0.6
hang,0.529
hangman,0.877
hangout,0.5
hangover,0.565
hangry,0.794
hankering,0.54
haphazard,0.53
happen,0.67
happening,0.529
happier,0.76
happiest,0.716
happily,0.69
happiness,0.732
happy,0.735
happydance,0.76
happyday,0.65
happyheart,0.575
happyholidays,0.74
happynewyear,0.815
happyplace,0.589
happytweet,0.588
happyvalentinesday,0.784
harass,0.775
harassing,0.873
harassment,0.896
hard,0.708
hardball,0.667
hardcore,0.721
harden,0.598
hardened,0.618
hardening,0.673
hardheaded,0.699
hardness,0.58
hardship,0.775
hardworking,0.583
hardy,0.569
harebrained,0.551
harem,0.578
hark,0.5
harlot,0.798
harm,0.679
harmful,0.75
harness,0.549
harpoon,0.7
harrowing,0.81
harsh,0.65
harshness,0.6
hashish,0.57
hassle,0.74
haste,0.745
hasten,0.75
hastily,0.609
hasty,0.885
hatch,0.653
hatchet,0.608
hate,0.802
hateeee,0.606
hateeveryone,0.84
hateful,0.819
hater,0.702
hateyou,0.735
hating,0.82
hatred,0.847
haughty,0.708
haul,0.564
haulage,0.51
haunt,0.676
haunted,0.731
havoc,0.769
hawk,0.53
hawking,0.509
hayride,0.521
haywire,0.545
hazard,0.884
hazardous,0.75
headache,0.755
headaches,0.72
headland,0.551
headless,0.582
headlock,0.538
headlong,0.548
headmaster,0.564
headstrong,0.714
heady,0.806
heap,0.51
hearsay,0.623
heart,0.5
heart disease,0.75
heartache,0.75
heartattack,0.839
heartbeat,0.698
heartbreak,0.61
heartbreaker,0.685
heartbreaking,0.811
heartbroken,0.551
heartburn,0.613
heartily,0.531
heartland,0.51
heartless,0.652
hearts,0.592
heartworm,0.55
hearty,0.684
heat,0.612
heater,0.573
heathen,0.529
heave,0.588
heavily,0.679
heaviness,0.549
heaving,0.843
heavy metal,0.755
heavyweight,0.578
heck,0.728
hectic,0.811
hedge,0.602
hedonism,0.5
hefty,0.654
hegemonic,0.519
heheh,0.51
height,0.608
heighten,0.622
heightened,0.529
heinous,0.792
heir,0.654
heiress,0.571
heirs,0.519
heist,0.85
helicopter,0.806
helipad,0.637
heliport,0.604
hell,0.918
hellfire,0.89
hellhole,0.615
hellish,0.86
hematoma,0.6
hemorrhage,0.849
hemorrhoids,0.702
henhouse,0.577
hepatitis,0.596
heraldry,0.52
herd,0.5
hereditary,0.6
heresy,0.765
heretic,0.71
heretical,0.63
heritage,0.512
hermaphrodite,0.684
hermeneutics,0.577
hero,0.806
heroic,0.77
heroics,0.673
heroin,0.843
heroine,0.755
heroism,0.802
herpes,0.6
herpesvirus,0.558
hesitant,0.542
hesitate,0.548
hesitating,0.528
heterosexual,0.612
hex,0.51
heyday,0.68
hiccup,0.549
hickey,0.529
hide,0.51
hideous,0.75
hiding,0.567
hierarchical,0.62
hierarchy,0.722
high,0.51
high heels,0.528
highball,0.52
higher,0.528
highest,0.64
highlight,0.637
highness,0.67
hight,0.637
highway,0.583
hijack,0.908
hijacker,0.953
hiker,0.802
hiking,0.843
hilarious,0.64
hilltop,0.643
hilt,0.65
hind,0.644
hinder,0.537
hindering,0.654
hindrance,0.545
hinterland,0.52
hip hop,0.714
hire,0.558
hit,0.931
hitchhike,0.622
hitchhiker,0.626
hitter,0.683
hoax,0.696
hobby,0.56
hockey,0.786
hog,0.509
hoist,0.52
hokey,0.667
holidays,0.521
holidayseason,0.566
holler,0.825
holocaust,0.918
homage,0.56
hombres,0.538
homicidal,0.912
homicide,0.973
homophobic,0.736
homosexual,0.78
homosexuality,0.696
honeymoon,0.678
honk,0.635
honky,0.632
honor,0.587
honorarium,0.51
honorary,0.565
hooch,0.538
hooded,0.745
hoodlum,0.72
hooked,0.661
hooker,0.889
hookup,0.529
hooky,0.5
hooligan,0.712
hoot,0.56
hooter,0.615
hop,0.52
hopes,0.5
horde,0.713
hormonal,0.62
hormone,0.75
horn,0.51
horned,0.61
hornet,0.594
horny,0.908
horrendous,0.755
horrible,0.857
horribly,0.631
horrid,0.765
horrific,0.846
horrified,0.885
horrifying,0.76
horror,0.85
horrors,0.852
horse,0.51
horseback,0.588
horseman,0.7
horsepower,0.735
horseradish,0.584
horseshit,0.582
hospital,0.537
hostage,0.923
hostel,0.5
hostess,0.604
hostile,0.877
hostilities,0.81
hostility,0.775
hot,0.74
hot sauce,0.74
hothead,0.849
hotline,0.565
hotshot,0.727
hotyoga,0.609
hound,0.528
houseguest,0.5
householder,0.541
housekeeping,0.5
housewarming,0.71
hovercraft,0.654
howl,0.646
huddle,0.509
huffy,0.616
huge,0.625
hulk,0.74
humanrights,0.559
humbled,0.618
humbug,0.622
humiliate,0.714
humiliated,0.712
humiliating,0.716
humiliation,0.712
hummer,0.622
humongous,0.538
humor,0.633
humored,0.657
humorist,0.79
humorous,0.616
hunch,0.63
hunger,0.554
hungry,0.69
hunky,0.571
hunt,0.806
hunter,0.817
hunting,0.713
huntress,0.717
hurdle,0.682
hurl,0.745
hurrah,0.74
hurricane,0.958
hurricanes,0.898
hurried,0.806
hurry,0.735
hurryup,0.791
hurt,0.773
hurtful,0.68
hurting,0.778
husband,0.5
hussy,0.594
hustle,0.661
hustler,0.821
hydra,0.598
hydraulics,0.53
hydrocephalus,0.629
hydrodynamics,0.582
hydrophobia,0.784
hydroponics,0.549
hyena,0.719
hymen,0.651
hype,0.5
hyped,0.582
hyper,0.616
hyperactive,0.921
hyperbole,0.521
hyperspace,0.623
hypertension,0.784
hypertrophy,0.625
hyperventilate,0.729
hyperventilating,0.802
hypnotic,0.56
hypnotize,0.507
hypochondriac,0.588
hypocrisy,0.523
hypocrite,0.673
hypocritical,0.74
hypothermia,0.62
hysterectomy,0.66
hysteria,0.906
hysterical,0.942
iceberg,0.54
icebreaker,0.545
icky,0.51
iconic,0.537
idea,0.538
idealist,0.51
idiocy,0.635
idiot,0.567
idiotic,0.62
idiots,0.6
idol,0.805
idolatry,0.571
idolizing,0.712
ignite,0.785
ignition,0.72
ihatespiders,0.611
illegal,0.787
illegality,0.635
illegally,0.788
illegitimate,0.644
illicit,0.794
illness,0.717
illogical,0.63
illuminate,0.646
illuminating,0.613
illumination,0.588
illuminator,0.566
illustrious,0.55
ilovechristmas,0.59
iloveher,0.519
imaginable,0.529
imaginative,0.541
imbalance,0.538
imbecile,0.569
imbedded,0.58
imissyou,0.608
imitate,0.561
imitation,0.592
immature,0.5
immaturity,0.567
immeasurable,0.539
immeasurably,0.64
immediacy,0.63
immediate,0.548
immediately,0.78
immense,0.75
immerse,0.577
immersion,0.556
immigrant,0.663
immigration,0.667
imminent,0.784
immoral,0.622
immorality,0.689
immortal,0.75
immortality,0.635
immunization,0.51
impact,0.884
impair,0.5
impairment,0.571
impassioned,0.78
impatience,0.78
impatient,0.708
impatiently,0.75
impeach,0.776
impeachment,0.735
impede,0.51
impediment,0.6
impelled,0.741
impending,0.735
impenetrable,0.577
imperative,0.647
imperfect,0.527
imperfection,0.567
imperial,0.646
imperialist,0.786
impersonate,0.632
impersonation,0.618
impersonator,0.586
impertinence,0.653
impertinent,0.826
impetuous,0.814
impetus,0.74
implacable,0.663
implant,0.51
implantation,0.604
implanted,0.5
implement,0.573
implicate,0.67
implicated,0.673
implication,0.528
implied,0.53
implore,0.65
implosion,0.724
imply,0.67
impolite,0.59
importance,0.58
important,0.63
importation,0.5
impose,0.721
imposing,0.731
imposition,0.604
impossibility,0.625
impossible,0.51
impostor,0.704
impotence,0.689
impotent,0.587
impound,0.587
impracticable,0.549
impregnable,0.549
impregnate,0.721
impress,0.744
impressed,0.77
impression,0.557
impressionable,0.72
impressive,0.83
imprint,0.574
imprison,0.829
imprisoned,0.717
imprisonment,0.63
impromptu,0.729
improper,0.52
impropriety,0.591
improve,0.528
improvement,0.5
improves,0.625
improving,0.51
improvisation,0.812
improvise,0.65
improvised,0.673
imprudent,0.676
impudence,0.5
impudent,0.604
impulse,0.84
impulsive,0.864
impunity,0.721
impure,0.56
impurity,0.546
imputation,0.654
inability,0.529
inaccessible,0.585
inadequacy,0.5
inadequateness,0.529
inadmissible,0.636
inadvertently,0.541
inaffable,0.518
inappropriate,0.542
inaugural,0.567
inaugurate,0.582
inauguration,0.712
inbred,0.52
incalculable,0.62
incandescent,0.612
incantation,0.632
incapable,0.529
incapacity,0.5
incarceration,0.8
incarnate,0.651
incendiary,0.81
incensed,0.643
incentive,0.618
incessant,0.76
incessantly,0.765
incest,0.853
incestuous,0.736
incidence,0.527
incident,0.662
incidental,0.61
incidentally,0.5
incineration,0.787
incinerator,0.643
incision,0.663
incisive,0.602
incite,0.736
incitement,0.943
inclement,0.676
incoherent,0.612
income,0.51
incoming,0.509
incomparable,0.577
incompatible,0.5
incompetence,0.551
incompetent,0.566
incomprehensible,0.55
inconceivable,0.552
incongruous,0.504
inconsiderate,0.519
incontinence,0.598
inconvenience,0.667
inconvenient,0.61
incorporate,0.612
incorrect,0.569
incorrigible,0.667
increase,0.657
increased,0.66
incredible,0.796
incredulous,0.51
increment,0.637
incriminate,0.81
incriminating,0.788
incrimination,0.865
incubus,0.529
incumbent,0.54
incur,0.667
incurable,0.667
incursion,0.83
indebted,0.698
indecency,0.67
indecent,0.683
indefensible,0.647
indemnify,0.548
indemnity,0.607
indentation,0.5
independence,0.663
indescribable,0.529
indestructible,0.731
indicative,0.51
indict,0.731
indictment,0.745
indigenous,0.509
indigestion,0.61
indignant,0.6
indignation,0.778
indignity,0.5
indiscreet,0.587
indiscretion,0.637
indisposed,0.519
indoctrination,0.657
indomitable,0.8
induce,0.606
inducement,0.765
induction,0.593
indulge,0.716
industrial,0.6
industrialist,0.633
industrious,0.537
ineffable,0.577
inequality,0.575
inequitable,0.519
inexcusable,0.582
inexhaustible,0.541
inexperience,0.614
inexplicable,0.635
inexpressible,0.608
infallibility,0.663
infallible,0.687
infamous,0.58
infamy,0.676
infanticide,0.856
infantry,0.684
infarct,0.846
infatuated,0.764
infatuation,0.745
infect,0.777
infection,0.735
infectious,0.76
infernal,0.837
inferno,0.857
infertility,0.664
infestation,0.776
infidel,0.74
infidelity,0.777
infield,0.571
infiltrate,0.745
infiltration,0.792
infinite,0.583
infinitely,0.643
infirm,0.521
inflammation,0.765
inflammatory,0.642
inflatable,0.51
inflate,0.569
inflation,0.792
inflection,0.635
inflict,0.76
infliction,0.722
influence,0.663
influential,0.688
influenza,0.718
influx,0.635
inform,0.582
informant,0.612
informer,0.578
infraction,0.66
infrared,0.588
infringement,0.8
infuriate,0.934
infuriated,0.93
infuriates,0.913
infuriating,0.87
infuse,0.705
ingenious,0.69
ingenuity,0.59
ingest,0.559
ingestion,0.612
ingrate,0.606
inhalation,0.613
inhaler,0.5
inherit,0.546
inheritance,0.565
inhospitable,0.531
inhuman,0.66
inhumane,0.587
inhumanity,0.54
inimaginable,0.636
inimical,0.823
iniquity,0.567
initiation,0.529
initiative,0.615
inject,0.735
injection,0.741
injure,0.71
injured,0.68
injuring,0.79
injurious,0.759
injury,0.769
injustice,0.755
inkling,0.551
inlay,0.531
inmate,0.663
innermost,0.5
innovate,0.872
innovation,0.68
innovative,0.64
innuendo,0.67
inoculation,0.57
inordinate,0.63
inquest,0.569
inquire,0.519
inquirer,0.598
inquiring,0.51
inquisitive,0.637
inquisitor,0.873
insane,0.67
insanity,0.847
insatiable,0.656
inscrutable,0.541
insect,0.633
insecticide,0.598
insecure,0.538
insecurity,0.647
insemination,0.644
inseparable,0.52
insert,0.552
insertion,0.52
insider,0.562
insidious,0.622
insightful,0.691
insinuate,0.635
insist,0.651
insistence,0.704
insistent,0.635
insists,0.587
insolence,0.731
insolent,0.663
insomnia,0.611
inspect,0.603
inspection,0.63
inspector,0.58
inspiration,0.6
inspirational,0.72
inspire,0.627
inspired,0.702
instability,0.76
install,0.583
instantaneous,0.5
instantaneously,0.64
instigate,0.765
instigation,0.769
instinct,0.602
instinctive,0.575
instructional,0.5
instrument,0.537
instrumentalist,0.54
instrumentality,0.51
insubordination,0.775
insufferable,0.784
insufficiently,0.509
insult,0.831
insulting,0.84
insurgent,0.735
insurmountable,0.627
insurrection,0.706
intake,0.527
intelligence,0.587
intelligent,0.541
intend,0.52
intended,0.542
intending,0.567
intense,0.774
intensely,0.846
intensify,0.87
intensity,0.93
intensive,0.842
intentional,0.615
intentionally,0.676
interact,0.69
interaction,0.735
interactive,0.811
intercede,0.577
intercept,0.66
interception,0.673
interchange,0.527
intercourse,0.608
interdependence,0.618
interdiction,0.5
interest,0.667
interested,0.529
interesting,0.726
interfere,0.714
interference,0.736
interferometer,0.51
intergalactic,0.661
interject,0.648
interlocutory,0.5
intermediary,0.51
interment,0.608
intermittent,0.565
international,0.519
internship,0.51
interpolation,0.506
interpret,0.625
interpretation,0.594
interpretive,0.549
interrogate,0.808
interrogation,0.827
interrupt,0.635
interrupted,0.559
interrupting,0.593
interruption,0.632
interrupts,0.545
intersect,0.51
intersection,0.541
interstellar,0.702
intervene,0.677
intervening,0.627
intervention,0.696
interview,0.77
interviewer,0.736
interworking,0.587
intestinal,0.531
intestines,0.547
intimacy,0.802
intimate,0.598
intimately,0.573
intimation,0.673
intimidate,0.804
intimidated,0.663
intimidating,0.79
intimidation,0.791
intolerable,0.66
intolerance,0.704
intolerant,0.676
intoxicated,0.824
intoxicating,0.76
intoxication,0.71
intracranial,0.602
intractable,0.694
intravenous,0.538
intrepid,0.696
intricate,0.704
intrigue,0.83
intriguing,0.713
introduce,0.559
intrude,0.735
intruder,0.74
intrusion,0.641
intrusive,0.607
intubation,0.598
intuition,0.508
intuitive,0.573
intuitively,0.561
inundation,0.78
invade,0.892
invader,0.827
invaluable,0.5
invasion,0.843
invasive,0.73
invent,0.689
invention,0.577
inventive,0.627
inventor,0.667
inversion,0.63
invert,0.585
invest,0.663
investigate,0.5
investigation,0.592
investigative,0.6
investigator,0.509
investment,0.592
investor,0.655
invidious,0.65
invigorate,0.798
invincible,0.853
invitation,0.549
invite,0.655
inviting,0.571
invocation,0.62
invoke,0.74
involvement,0.62
invulnerable,0.683
irate,0.852
ire,0.74
iridescent,0.588
irked,0.791
irks,0.781
ironclad,0.648
ironic,0.55
irony,0.587
irradiation,0.736
irrational,0.648
irrationality,0.735
irreconcilable,0.667
irrefutable,0.549
irregular,0.548
irregularity,0.647
irregularly,0.565
irreparable,0.53
irreplaceable,0.58
irrepressible,0.566
irresistible,0.833
irrespective,0.538
irresponsible,0.68
irreverent,0.694
irreversible,0.541
irrevocable,0.56
irritability,0.853
irritable,0.952
irritate,0.89
irritated,0.816
irritates,0.81
irritating,0.912
irritation,0.833
issue,0.819
itch,0.61
itching,0.69
itchy,0.726
itemize,0.527
itinerant,0.545
itinerary,0.55
jab,0.519
jabber,0.506
jackal,0.582
jackass,0.692
jackhammer,0.69
jackpot,0.75
jaded,0.56
jaguar,0.71
jail,0.898
jailbird,0.567
jailbreak,0.629
jailer,0.63
jailhouse,0.887
jam,0.548
jamboree,0.625
jammed,0.817
jammer,0.54
jargon,0.548
jarhead,0.53
jarring,0.673
jaw,0.51
jaws,0.528
jealous,0.855
jealousy,0.783
jeep,0.51
jeering,0.792
jellyfish,0.567
jeopardize,0.877
jeopardy,0.908
jerk,0.63
jerks,0.788
jerky,0.538
jest,0.736
jester,0.67
jet,0.721
jewel,0.588
jewelry,0.569
jiggle,0.673
jigsaw,0.582
jihad,0.66
jingle,0.5
jinx,0.582
jitters,0.918
jittery,0.856
jive,0.551
job,0.541
jobinterview,0.837
jock,0.656
jockey,0.644
jog,0.708
jogger,0.51
joke,0.61
joker,0.76
joking,0.839
jolly,0.705
jolt,0.708
jornada,0.5
journalism,0.5
journey,0.702
journeyman,0.596
joust,0.528
joy,0.824
joyful,0.74
joyous,0.58
joyride,0.55
joys,0.643
jubilant,0.673
jubilee,0.5
judge,0.604
judged,0.686
judging,0.625
judgment,0.6
judgmental,0.602
judicial,0.667
judiciary,0.74
judo,0.79
juggle,0.76
juggler,0.821
juggling,0.874
jugular,0.573
juicer,0.52
juicy,0.529
juju,0.519
jukebox,0.54
jumble,0.613
jumbled,0.602
jumbo,0.552
jump,0.865
jump rope,0.66
jumpy,0.81
juncture,0.582
jungle,0.51
junket,0.519
junkie,0.86
junky,0.595
junta,0.503
jurisdiction,0.58
jurist,0.523
juror,0.64
jury,0.607
justice,0.538
juxtaposition,0.5
kaiser,0.509
kamikaze,0.81
karaoke,0.649
karate,0.833
karma,0.51
kayak,0.6
keen,0.719
keyword,0.52
kick,0.791
kickboxing,0.882
kicker,0.711
kicking,0.802
kickoff,0.6
kidder,0.768
kidding,0.625
kidnap,0.923
kidnapped,0.923
kidnapper,0.906
kidnapping,0.88
kids,0.5
kill,0.941
killer,0.971
killing,0.959
killjoy,0.55
kindling,0.651
kinetic,0.54
king,0.69
king snake,0.835
kingdom,0.547
kingpin,0.626
kink,0.634
kinky,0.558
kiss,0.813
kisser,0.682
kissy,0.684
kite,0.5
knack,0.518
knell,0.5
knick,0.509
knife,0.717
knighthood,0.66
knock,0.531
knockoff,0.606
knockout,0.755
kooky,0.582
kraut,0.5
kryptonite,0.69
kudos,0.587
lab,0.5
labor,0.639
laborer,0.51
laboring,0.644
laborious,0.635
labyrinth,0.811
laceration,0.667
lackey,0.51
lacrosse,0.656
laddie,0.539
ladylike,0.559
lagging,0.538
lance,0.62
lancer,0.528
landed,0.62
landing,0.696
landlord,0.5
landslide,0.864
lap,0.51
larceny,0.821
large,0.565
larger,0.654
laryngitis,0.5
laser,0.531
lash,0.794
lass,0.536
lastday,0.58
lasting,0.535
lastminute,0.582
latent,0.5
laudation,0.547
laugh,0.639
laughable,0.627
laughing,0.596
laughingstock,0.779
laughs,0.846
laughter,0.654
launch,0.814
launcher,0.745
launches,0.663
lava,0.539
lavish,0.648
law,0.59
lawless,0.69
lawlessness,0.804
lawman,0.523
lawnmower,0.531
lawsuit,0.794
lawyer,0.569
laxative,0.55
layaway,0.51
lead,0.657
leaded,0.625
leader,0.582
leadership,0.69
leading,0.698
leafy,0.53
leak,0.833
leakage,0.731
leaky,0.686
leap,0.663
learn,0.643
learning,0.588
leaving,0.542
lecherous,0.704
lecturer,0.549
leech,0.623
leeches,0.698
leery,0.64
lees,0.567
leeway,0.577
legacy,0.529
legend,0.519
legendary,0.537
legion,0.57
legislate,0.582
legislator,0.58
legwork,0.56
lender,0.52
lending,0.585
lengthened,0.53
lengthening,0.53
leopard,0.755
leper,0.589
leprosy,0.67
lesbian,0.66
lesbianism,0.725
lesion,0.623
lesson,0.577
lethal,0.8
leukemia,0.572
leverage,0.5
levitate,0.598
lewd,0.673
liabilities,0.608
liability,0.5
liable,0.519
liar,0.606
libel,0.694
libelous,0.735
liberal,0.565
liberalism,0.712
liberate,0.632
liberated,0.63
liberating,0.62
liberation,0.614
liberty,0.579
libido,0.602
lice,0.5
lie,0.725
lien,0.58
lieutenant,0.612
life,0.615
lifeblood,0.69
lifeguard,0.606
lifeisgood,0.575
lifelike,0.567
lifeline,0.552
lifer,0.519
lifesaver,0.745
lifesucks,0.637
lifetime,0.559
lift,0.518
liftoff,0.667
lightheaded,0.62
lightning,0.683
liking,0.604
limber,0.729
limelight,0.639
limitless,0.574
limousine,0.531
linebacker,0.66
lingering,0.643
lion,0.717
liposuction,0.684
liquefaction,0.622
liqueur,0.612
liquidate,0.654
liquidation,0.625
liquidator,0.663
liquidity,0.529
liquor,0.702
lithe,0.596
litigant,0.577
litigate,0.819
litigation,0.76
litigator,0.63
litigious,0.736
litter,0.551
live,0.673
livelife,0.624
lively,0.81
liven,0.713
livid,0.788
living,0.608
llama,0.59
lml,0.519
loath,0.714
loathe,0.73
loathful,0.74
loathing,0.796
loathsome,0.694
lobbyist,0.527
lobotomy,0.598
locate,0.52
lock,0.585
lockup,0.602
loco,0.774
locomotion,0.6
locomotive,0.65
logistics,0.5
lookout,0.538
looming,0.75
loophole,0.755
loopy,0.52
loot,0.711
lopsided,0.5
lordship,0.557
lose,0.538
loser,0.51
losing,0.686
loss,0.567
lost,0.663
lottery,0.731
lotto,0.635
loud,0.65
loudly,0.755
loudmouth,0.615
loudness,0.582
loudspeaker,0.735
love,0.519
lovee,0.592
loveee,0.592
lovelife,0.61
loveliness,0.509
lovelovelove,0.582
lovemaking,0.927
lovemylife,0.8
lover,0.816
lovesick,0.842
lovethis,0.552
loving,0.612
lowlife,0.529
luau,0.545
lubricant,0.55
lubrication,0.646
luckiest,0.69
lucky,0.61
luckygirl,0.712
lucrative,0.519
ludicrous,0.553
lumbering,0.561
lumberjack,0.66
luminescent,0.55
lunacy,0.847
lunatic,0.792
lunge,0.721
lurch,0.694
lure,0.565
lurid,0.833
lurk,0.74
lurking,0.781
luscious,0.552
lush,0.783
lust,0.944
luster,0.566
lustful,0.896
lustrous,0.606
lusty,0.941
luxuriant,0.745
luxurious,0.644
luxury,0.673
lying,0.704
lymph,0.51
lymphatic,0.509
lymphoma,0.645
lynch,0.885
lynching,0.92
lynx,0.59
macarena,0.601
machete,0.69
machine,0.5
machinery,0.615
machinist,0.598
macho,0.69
mad,0.873
madame,0.5
madden,0.602
madder,0.853
mademyday,0.573
madhouse,0.736
madman,0.88
madness,0.804
mafia,0.867
maggot,0.5
magic,0.663
magical,0.651
magician,0.657
magistrate,0.541
magma,0.623
magnate,0.708
magnetic,0.529
magnetism,0.529
magnification,0.615
magnificence,0.81
magnificent,0.68
magnify,0.561
magnitude,0.613
maim,0.724
main,0.51
mainstream,0.527
majestic,0.731
majesty,0.602
major,0.538
majority,0.56
