term,arousal
fingerprint,0.404
finish,0.429
finished,0.387
finite,0.347
fir,0.275
firefly,0.41
fireplace,0.38
fireside,0.377
firewood,0.348
firm,0.38
firmament,0.407
firmness,0.479
firstborn,0.49
fish,0.28
fisherman,0.461
fishing,0.283
fishing boat,0.403
fissile,0.49
fistula,0.481
fit,0.45
fits,0.363
fitted,0.404
fitting,0.441
fittings,0.404
five,0.221
fiver,0.469
fixable,0.47
fixation,0.459
fixed,0.167
fixer,0.375
fixture,0.216
fixtures,0.33
fjord,0.404
flabby,0.358
flaccid,0.4
flag,0.378
flagpole,0.394
flair,0.471
flake,0.388
flamingo,0.451
flan,0.304
flange,0.306
flank,0.458
flanked,0.431
flannel,0.25
flap,0.385
flashback,0.4
flashlight,0.414
flask,0.412
flat,0.236
flatbed,0.25
flatfoot,0.333
flatness,0.28
flatten,0.469
flatter,0.418
flavor,0.479
flaw,0.491
flawed,0.49
flawless,0.42
flea,0.353
fleece,0.25
fleet,0.43
flesh,0.39
flex,0.378
flexibility,0.402
flexible,0.46
flicker,0.321
flickering,0.444
flier,0.49
flimsy,0.396
flint,0.439
flipper,0.42
float,0.394
floater,0.433
floor,0.23
flooring,0.235
floozy,0.477
floppy,0.3
flora,0.324
floral,0.235
florist,0.41
floss,0.28
flotation,0.353
flounder,0.333
flour,0.235
flow,0.316
flower,0.189
flowers,0.324
flowery,0.332
flows,0.48
fluff,0.264
fluffy,0.431
fluid,0.407
fluke,0.45
flunky,0.452
fluorescence,0.49
flute,0.33
fluted,0.438
fluvial,0.363
flux,0.472
flyer,0.3
flywheel,0.48
foam,0.23
foaming,0.24
foamy,0.306
fob,0.402
focal,0.365
focus,0.382
fodder,0.358
fog,0.213
foggy,0.337
foil,0.204
foiled,0.47
fold,0.412
folded,0.373
folder,0.279
foliage,0.373
folio,0.265
folk,0.433
follicle,0.331
follicular,0.305
follower,0.488
fondle,0.485
fondness,0.391
fondue,0.363
font,0.336
food,0.324
foodie,0.465
foolish,0.255
foolishness,0.472
foolproof,0.484
foot,0.29
foot stool,0.317
footage,0.235
footbridge,0.375
foothold,0.336
footing,0.346
footlocker,0.417
footpath,0.321
footprint,0.292
footwear,0.337
forage,0.389
forbearance,0.471
ford,0.34
fore,0.417
forearm,0.304
forecast,0.419
forefathers,0.412
forefinger,0.254
foregoing,0.346
foreground,0.491
forehead,0.308
foresee,0.452
foreseen,0.361
foresight,0.482
forest,0.27
forethought,0.491
foreveralone,0.375
forevermore,0.425
foreword,0.314
forge,0.424
forget,0.382
forgetful,0.343
forgetfulness,0.385
forgive,0.408
forgiven,0.302
forgiveness,0.43
forgiving,0.317
forgotten,0.28
fork,0.3
form,0.302
formal,0.25
formaldehyde,0.415
formalism,0.289
formality,0.353
format,0.308
formation,0.453
formative,0.442
formed,0.272
forming,0.343
formless,0.201
formula,0.45
formulary,0.47
formulate,0.456
forsaken,0.49
forsooth,0.45
forthright,0.411
fortnightly,0.337
fortuitous,0.469
forty,0.367
forum,0.49
forward,0.412
fossil,0.292
fossils,0.314
foul,0.46
found,0.446
foundation,0.385
founder,0.465
founding,0.404
foundry,0.491
fountain,0.292
four,0.28
fourfold,0.408
foursome,0.497
fourteen,0.279
fourth,0.28
fowl,0.388
foyer,0.37
fraction,0.33
fractional,0.36
fragile,0.163
fragility,0.306
fragment,0.316
fragrance,0.357
frail,0.333
frailty,0.4
frame,0.333
framework,0.33
franc,0.451
franchise,0.4
frank,0.358
frat,0.371
fraternal,0.336
frayed,0.363
frazzled,0.415
freckle,0.396
freely,0.456
freeman,0.454
freeze,0.406
freezer,0.406
freezing,0.367
freighter,0.445
french horn,0.471
frequent,0.481
frequently,0.423
fresco,0.28
fresh,0.292
freshair,0.377
freshen,0.363
freshener,0.38
freshness,0.333
freshwater,0.284
fret,0.46
friar,0.26
friday,0.411
fridge,0.292
fried,0.482
friend,0.413
friendless,0.36
friendliness,0.27
friendly,0.398
friendship,0.343
frigid,0.481
fringe,0.387
fringed,0.37
frock,0.327
frog,0.311
front,0.35
frontage,0.356
frontal,0.434
fronting,0.48
frontispiece,0.453
frost,0.455
frostbite,0.38
frosted,0.471
frosting,0.48
frosty,0.48
froth,0.287
frothy,0.398
frozen,0.346
frugal,0.355
fruit,0.291
fruit punch,0.363
fruitcake,0.44
fruits,0.357
fruity,0.414
fryer,0.459
fuchsia,0.275
fudge,0.418
fulcrum,0.32
fulfill,0.461
fulfilled,0.48
fulfilling,0.417
full,0.255
fullness,0.402
fully,0.45
fume,0.454
fumin,0.42
function,0.296
fund,0.36
fundamental,0.422
fundamentalist,0.43
fundamentally,0.441
funding,0.48
funds,0.33
funeral,0.38
fungus,0.337
funnel,0.274
fur,0.392
furlong,0.446
furlough,0.432
furnish,0.487
furnishings,0.177
furniture,0.26
furrow,0.42
furry,0.4
furtherance,0.441
futile,0.332
futility,0.32
futon,0.351
fuzz,0.482
fuzzy,0.472
gab,0.471
gaby,0.347
gad,0.47
gaff,0.418
gaga,0.396
gage,0.451
gait,0.398
gal,0.469
gala,0.443
gallbladder,0.471
gallery,0.433
galley,0.445
gallon,0.327
galvanic,0.49
gamma,0.429
gammon,0.418
gamut,0.34
gander,0.41
gap,0.451
garage,0.283
garb,0.37
garden,0.23
gardener,0.346
gardening,0.333
gardens,0.202
garlic,0.323
garment,0.333
garner,0.46
garnet,0.418
garnish,0.418
garter,0.406
gas,0.408
gaseous,0.462
gasket,0.367
gassy,0.497
gate,0.235
gatekeeper,0.49
gateway,0.376
gatherer,0.425
gauche,0.398
gauging,0.463
gaunt,0.49
gauntlet,0.491
gauze,0.275
gavel,0.418
gawk,0.472
gazebo,0.402
gazelle,0.448
gazette,0.39
gazetteer,0.417
gazing,0.413
geek,0.392
geeky,0.431
geez,0.396
geezer,0.374
gel,0.206
gelatin,0.402
geld,0.46
gem,0.48
gemini,0.32
gender,0.346
genealogy,0.37
general,0.484
generality,0.36
generalization,0.459
generally,0.255
generate,0.423
generation,0.48
generic,0.357
generosity,0.443
generous,0.41
genesis,0.429
genetic,0.288
genetics,0.46
genome,0.366
genre,0.433
gent,0.494
genteel,0.333
gentile,0.25
gentle,0.353
gentleman,0.439
gentlemanly,0.451
gentleness,0.278
gently,0.255
gentry,0.48
genuine,0.45
genus,0.349
geographic,0.33
geographical,0.317
geography,0.15
geological,0.324
geologist,0.431
geology,0.321
geometric,0.356
geometry,0.27
geranium,0.25
gerbil,0.306
geriatric,0.247
germ,0.421
german,0.29
germinate,0.472
germination,0.49
gesture,0.481
getoverit,0.481
getoveryourself,0.481
gilded,0.471
gill,0.473
gilt,0.417
gimp,0.442
ginger,0.375
gingerbread,0.333
gingerly,0.406
ginseng,0.36
giraffe,0.347
girder,0.245
girdle,0.34
girlish,0.477
girly,0.462
girth,0.353
gist,0.45
give,0.346
giver,0.415
giving,0.333
gizmo,0.49
gizzard,0.423
glabrous,0.474
glacial,0.327
glacier,0.396
glade,0.385
glance,0.357
gland,0.382
glass,0.404
glasses,0.21
glassware,0.356
glaze,0.34
glazed,0.41
glen,0.337
glib,0.433
glimmer,0.462
glimpse,0.48
glitch,0.448
globe,0.315
globular,0.375
gloom,0.404
gloomy,0.41
gloss,0.466
glossary,0.204
glove,0.23
gloves,0.225
glucose,0.316
glue,0.345
glum,0.337
gluten,0.308
glycerin,0.402
gnat,0.345
gnome,0.479
go,0.441
goal,0.356
goalie,0.389
goals,0.49
goat,0.304
goatee,0.29
gob,0.357
goblet,0.353
godbless,0.395
godfather,0.45
godisgood,0.434
godly,0.298
godmother,0.311
goggle,0.286
goggles,0.36
golden,0.491
goldfish,0.296
golf,0.358
golfer,0.402
golfing,0.427
gondola,0.404
gone,0.23
goner,0.461
goo,0.396
goober,0.444
good,0.368
goodbye,0.389
goodday,0.357
goodfeeling,0.459
goodhealth,0.402
goodie,0.327
goodlife,0.471
goodly,0.471
goodmood,0.491
goodmorning,0.461
goodness,0.321
goods,0.396
goodwill,0.327
goody,0.337
gooey,0.48
goof,0.49
goofy,0.224
goon,0.481
goop,0.394
goose,0.283
gopher,0.44
gospel,0.333
gothic,0.333
gouge,0.441
goulash,0.429
gourd,0.271
gourmet,0.387
gout,0.314
gown,0.283
grace,0.304
gracias,0.356
graciously,0.353
gradation,0.477
grade,0.36
graded,0.34
grader,0.317
grades,0.349
gradient,0.423
gradual,0.35
gradually,0.385
grail,0.384
grain,0.198
gram,0.333
grammar,0.287
grandchild,0.433
granddad,0.248
granddaddy,0.291
granddaughter,0.445
grandfather,0.279
grandma,0.208
grandmother,0.283
grandpa,0.296
grandson,0.333
grange,0.34
granite,0.343
granny,0.24
granola,0.24
grant,0.38
granted,0.348
grantee,0.477
granular,0.337
granule,0.373
grape,0.122
grape juice,0.304
grapefruit,0.281
grapes,0.24
grapevine,0.343
graph,0.286
graphic,0.494
graphics,0.431
graphite,0.377
grass,0.164
grasshopper,0.462
grassy,0.323
grate,0.25
grated,0.462
grateful,0.353
grating,0.337
gratitude,0.441
grave,0.385
gravel,0.37
graveyard,0.441
gravitate,0.472
gravy,0.45
gray,0.153
graze,0.255
grease,0.404
greased,0.461
greasy,0.442
great aunt,0.419
great grandfather,0.241
great grandma,0.221
great grandmother,0.236
great grandpa,0.28
great uncle,0.398
greatnight,0.349
green,0.306
green bean,0.28
green pepper,0.431
greenhouse,0.438
greenish,0.29
greenwood,0.382
greeted,0.317
gregarious,0.471
grey,0.14
greyhound,0.49
grid,0.426
gridiron,0.491
grieved,0.46
griffin,0.337
grill,0.491
grille,0.327
grim,0.483
grind,0.276
grinding,0.45
grindstone,0.453
gringo,0.452
grist,0.391
grit,0.296
grits,0.333
gritty,0.373
grocer,0.25
groceries,0.363
groggy,0.265
groin,0.452
groove,0.448
grotto,0.394
ground,0.343
groundhog,0.324
grounding,0.452
groundwork,0.375
group,0.423
grouse,0.401
grout,0.356
grove,0.245
grownup,0.4
grub,0.406
gruel,0.304
grump,0.469
guacamole,0.317
guano,0.343
guarantee,0.337
guaranty,0.337
guardhouse,0.435
guardianship,0.37
guess,0.463
guesswork,0.451
guest,0.49
guesthouse,0.337
guidance,0.471
guide,0.315
guidebook,0.26
guild,0.459
guile,0.417
guinea,0.44
gules,0.443
gulf,0.365
gull,0.317
gullet,0.49
gullible,0.442
gum,0.227
gumbo,0.422
gummy,0.302
gunk,0.478
gurney,0.304
guru,0.36
gush,0.49
gusset,0.425
gut,0.367
gutless,0.381
gutter,0.26
guy,0.367
guzzling,0.49
gyroscope,0.39
habit,0.226
habitat,0.343
habitation,0.231
habitual,0.208
habitually,0.324
hacienda,0.402
haiku,0.356
hair,0.186
hairball,0.302
hairbrush,0.216
haircut,0.343
hairdo,0.32
hairdryer,0.402
hairless,0.235
hairline,0.154
hairpin,0.363
hairspray,0.279
hairstyle,0.38
hairy,0.38
hale,0.435
half,0.274
half dollar,0.408
halfback,0.429
halftime,0.352
halfway,0.254
halibut,0.412
hall,0.34
hallmark,0.315
hallway,0.23
halo,0.37
halt,0.36
halter,0.451
halve,0.347
halving,0.474
ham,0.245
hamlet,0.27
hammerhead,0.49
hammock,0.255
hamster,0.394
hamstring,0.471
hand,0.314
handbag,0.24
handball,0.493
handbook,0.224
handful,0.481
handheld,0.35
handicap,0.394
handicapped,0.467
handicraft,0.333
handiwork,0.43
handkerchief,0.192
handmade,0.383
handout,0.33
handprint,0.289
handwriting,0.378
handy,0.378
handyman,0.373
hangar,0.456
hanger,0.462
hanging,0.471
hank,0.375
hanky,0.276
hap,0.431
hapless,0.442
harbinger,0.389
harbor,0.356
hardware,0.289
hardwood,0.363
hare,0.41
harmless,0.226
harmonica,0.235
harmonics,0.4
harmonious,0.391
harmoniously,0.265
harmonize,0.461
harmony,0.23
harp,0.31
harper,0.454
harpsichord,0.49
harry,0.409
hart,0.389
harvest,0.353
hash,0.453
hat,0.183
have,0.389
haven,0.265
haw,0.426
hay,0.212
haye,0.451
haystack,0.292
haze,0.327
hazmat,0.479
hazy,0.433
head,0.472
headband,0.469
headdress,0.408
header,0.398
headgear,0.442
heading,0.292
headlight,0.343
headline,0.241
headliner,0.49
headphones,0.357
headquarter,0.269
headquarters,0.271
headset,0.34
headstone,0.378
headway,0.464
heal,0.245
healer,0.378
healing,0.452
health,0.427
healthcare,0.392
healthful,0.315
healthy,0.319
hear,0.429
hearer,0.281
hearing,0.49
hearse,0.49
hearted,0.41
heartfelt,0.44
hearth,0.275
heartsick,0.388
heated,0.497
heath,0.387
heather,0.352
heating,0.491
heaven,0.385
heavenly,0.452
heavens,0.273
heavy,0.454
hectares,0.25
hedgehog,0.491
hee,0.433
heed,0.49
heel,0.35
heels,0.439
heft,0.34
heifer,0.443
heirloom,0.375
helical,0.429
helium,0.316
helix,0.462
helm,0.45
helmet,0.327
helmsman,0.441
help,0.471
helper,0.438
helpful,0.337
helpless,0.42
helplessness,0.48
hem,0.283
hematite,0.389
hemi,0.363
hemisphere,0.367
hemispheric,0.449
hemlock,0.35
hemoglobin,0.481
hemostat,0.442
hemp,0.439
hen,0.276
henceforth,0.404
herald,0.382
herb,0.418
herbaceous,0.22
herbal,0.255
herbarium,0.188
herbs,0.299
heredity,0.445
heretofore,0.388
hereunto,0.225
herewith,0.36
hermit,0.337
hernia,0.486
herring,0.387
hertz,0.417
hesitation,0.396
hetero,0.405
heterogeneity,0.45
hew,0.47
hexagon,0.226
hiatus,0.294
hibernate,0.317
hibernation,0.245
hick,0.442
hickory,0.49
hidden,0.43
hideaway,0.481
hideout,0.443
hieroglyphics,0.325
highland,0.481
highlands,0.431
hightail,0.48
hike,0.442
hiking boot,0.353
hilarity,0.48
hill,0.353
hillside,0.292
hilly,0.479
hindsight,0.431
hinge,0.292
hint,0.33
hip,0.415
hippie,0.4
hippo,0.404
hippopotamus,0.472
hirsute,0.483
hiss,0.48
hissing,0.454
histology,0.32
historian,0.27
historic,0.473
historical,0.357
historiography,0.415
history,0.382
hitch,0.48
hitherto,0.356
hive,0.452
hives,0.473
hoard,0.412
hoarse,0.402
hoary,0.298
hob,0.363
hobbit,0.489
hobo,0.443
hock,0.452
hoe,0.48
hogwash,0.49
hohoho,0.433
hold,0.29
holder,0.33
holding,0.385
holdup,0.471
hole,0.31
holiday,0.431
holiness,0.264
holistic,0.348
hollow,0.337
holly,0.25
hologram,0.461
holographic,0.471
holster,0.255
holy,0.112
holyspirit,0.48
hombre,0.472
home,0.27
homeboy,0.255
homecoming,0.413
homeland,0.439
homeless,0.45
homely,0.157
homemade,0.34
homeopathic,0.268
homeopathy,0.284
homeowner,0.397
homeroom,0.48
homesick,0.304
homestead,0.221
homesweethome,0.38
hometown,0.333
homeward,0.275
homework,0.412
homey,0.278
homily,0.358
homing,0.46
hominy,0.382
homo,0.368
homogeneity,0.365
homogeneous,0.255
homologous,0.353
homologue,0.356
homology,0.494
honcho,0.464
hone,0.392
honest,0.254
honesty,0.411
honey,0.431
honeycomb,0.417
honeysuckle,0.451
honorable,0.412
honored,0.447
hood,0.459
hoof,0.341
hook,0.444
hoop,0.204
hoopla,0.471
hooray,0.481
hope,0.317
hopeful,0.357
hopeless,0.298
hopelessness,0.402
hoping,0.469
hopper,0.491
horizon,0.284
horizontal,0.304
horizontally,0.356
horoscope,0.36
horseshoe,0.35
horsey,0.454
horticultural,0.387
horticulture,0.42
hosannah,0.373
hose,0.288
hosiery,0.344
hospice,0.443
hospitable,0.47
hospitality,0.333
host,0.471
hotbed,0.285
hotdog,0.438
hotel,0.37
hour,0.265
hourglass,0.284
hourly,0.418
house,0.135
houseboat,0.389
houseboy,0.415
housebroken,0.461
household,0.23
housekeeper,0.279
housewife,0.361
housework,0.413
housing,0.304
hovel,0.296
hover,0.431
howsoever,0.309
hoy,0.298
hub,0.399
hubby,0.435
huckleberry,0.279
hue,0.416
huff,0.491
hug,0.427
hugger,0.48
huggy,0.429
hugs,0.422
hull,0.265
hum,0.296
human,0.314
humane,0.37
humanitarian,0.317
humanities,0.325
humanity,0.36
humankind,0.394
humanoid,0.462
humble,0.236
humbly,0.194
humdrum,0.246
humid,0.324
humidity,0.373
humility,0.118
hummingbird,0.37
hump,0.462
humpback,0.346
hunchback,0.39
hundred,0.37
hundredth,0.368
hunk,0.375
hunks,0.453
husbandry,0.473
hush,0.231
hushed,0.194
husk,0.173
husky,0.45
hut,0.27
hutch,0.453
hyacinth,0.36
hybrid,0.365
hydrant,0.413
hydrate,0.367
hydraulic,0.398
hydrogen,0.303
hydrographic,0.396
hydrology,0.38
hygiene,0.287
hygienic,0.245
hygienist,0.389
hymn,0.292
hyphen,0.356
hypnosis,0.41
hypnotist,0.455
hypnotized,0.434
hypodermic,0.441
hypothalamus,0.427
hypothesis,0.37
hypothetical,0.367
ibuprofen,0.427
ice,0.265
ice tea,0.337
icebox,0.222
iced,0.482
icing,0.452
icon,0.349
iconography,0.382
icy,0.375
id,0.344
ideal,0.437
idealism,0.436
idealistic,0.469
identical,0.38
identically,0.427
identification,0.451
identify,0.48
identity,0.36
ideology,0.344
idiom,0.337
idiomatic,0.429
idle,0.167
idleness,0.33
idler,0.304
idyllic,0.394
iffy,0.442
ifonly,0.25
igloo,0.302
igneous,0.466
ignorance,0.417
ignorant,0.461
ignore,0.23
iguana,0.235
ilk,0.451
ill,0.41
illegible,0.49
illiterate,0.41
illusion,0.49
illustrate,0.43
illustration,0.441
illustrative,0.452
image,0.241
imagery,0.327
imaginary,0.424
imagination,0.491
imagine,0.48
imagined,0.412
imaging,0.394
imagining,0.458
imam,0.337
imitated,0.391
immaculate,0.33
immaterial,0.309
immemorial,0.469
immobile,0.217
immovable,0.31
immune,0.472
immunity,0.316
immutable,0.431
imp,0.448
impaired,0.459
impart,0.441
impartial,0.406
impartiality,0.394
impassable,0.458
impeccable,0.37
imperceptible,0.49
imperfectly,0.481
impermeable,0.308
impermissible,0.464
impersonal,0.356
impervious,0.408
import,0.48
impoverished,0.311
impractical,0.373
improbable,0.412
improved,0.48
imtryingtosleep,0.363
inaccurate,0.45
inaction,0.225
inactivate,0.24
inactivation,0.26
inactive,0.167
inactivity,0.143
inadequate,0.45
inadvertent,0.368
inalienable,0.459
inane,0.35
inanimate,0.143
inapplicable,0.402
inattention,0.433
inaudible,0.398
inborn,0.288
inbound,0.388
incase,0.196
incense,0.275
inception,0.425
inch,0.327
incipient,0.382
inclination,0.49
incline,0.423
inclined,0.347
include,0.449
included,0.402
including,0.378
inclusion,0.404
inclusive,0.42
incognito,0.49
incomplete,0.37
incompletely,0.442
incompleteness,0.451
inconclusive,0.442
inconsequential,0.48
inconsistency,0.48
inconsistent,0.431
inconspicuous,0.214
incorporation,0.404
incubation,0.49
incubator,0.435
indecision,0.48
indecisive,0.42
indefinite,0.292
indelible,0.337
indemnification,0.49
indent,0.346
indenture,0.382
independent,0.44
indeterminate,0.402
index,0.268
indicate,0.35
indicating,0.339
indication,0.432
indicator,0.451
indice,0.377
indie,0.368
indifference,0.417
indifferent,0.157
indigent,0.481
indigo,0.365
indirect,0.402
indispensable,0.449
indistinct,0.34
indistinguishable,0.458
individual,0.327
individuality,0.469
indivisible,0.398
indolent,0.381
indoor,0.245
induced,0.471
indulgence,0.49
indulgent,0.481
industry,0.447
ineffective,0.422
ineffectual,0.412
inefficiency,0.466
inefficient,0.46
inelastic,0.426
ineligible,0.377
inept,0.418
ineptitude,0.471
inert,0.18
inertia,0.288
inevitable,0.419
inexact,0.459
inexpensive,0.414
inexperienced,0.473
infancy,0.399
infant,0.431
infantile,0.382
infeasible,0.472
infer,0.49
inference,0.479
inferential,0.451
inferior,0.254
inferiority,0.43
infertile,0.458
infinitesimal,0.472
infinity,0.459
infirmary,0.438
infirmity,0.482
inflated,0.431
inflorescence,0.344
info,0.33
infomercial,0.462
informal,0.398
information,0.37
informative,0.419
informed,0.298
infrastructure,0.46
infrequent,0.377
infrequently,0.25
infused,0.473
infuser,0.433
infusion,0.365
ingot,0.444
ingrained,0.49
ingredient,0.373
ingress,0.366
inhabit,0.378
inhabitant,0.356
inhabited,0.361
inhabiting,0.44
inhale,0.34
inherent,0.439
inhibit,0.479
inhibition,0.392
inhibitor,0.45
inimitable,0.413
initial,0.314
initiate,0.48
initiated,0.49
injunction,0.422
ink,0.408
inland,0.417
inlet,0.378
inn,0.284
innards,0.48
innate,0.4
inner,0.216
innerpeace,0.318
inning,0.315
innings,0.487
innkeeper,0.224
innocence,0.26
innocent,0.206
innocently,0.25
innocuous,0.321
innumerable,0.445
inoperable,0.422
inoperative,0.425
inorganic,0.345
input,0.337
inquiry,0.42
inscription,0.422
insensitive,0.471
inserted,0.402
inside,0.404
insight,0.363
insignia,0.282
insignificance,0.216
insignificant,0.306
insipid,0.25
insoluble,0.29
insolvency,0.431
insolvent,0.481
insomniac,0.367
installation,0.469
installment,0.396
instance,0.45
instant,0.454
instill,0.49
institute,0.48
institution,0.311
instruct,0.49
instructed,0.388
instruction,0.434
instructions,0.302
instructive,0.42
instructor,0.49
instrumental,0.472
insufficiency,0.431
insufficient,0.38
insular,0.426
insulate,0.358
insulated,0.265
insulation,0.327
insulin,0.472
insurance,0.308
insure,0.415
intact,0.212
intangible,0.48
integer,0.327
integral,0.337
integrate,0.39
integration,0.48
integrity,0.413
intellect,0.418
intellectual,0.455
intelligibility,0.481
intelligible,0.48
intent,0.481
intention,0.48
inter,0.375
intercession,0.486
interchangeable,0.459
interchanged,0.472
intercom,0.429
interdependent,0.482
interface,0.357
interim,0.4
interior,0.157
interlude,0.417
intermediate,0.368
interminable,0.481
intermission,0.36
intern,0.46
internal,0.349
internally,0.4
internet,0.462
interoffice,0.375
interpolate,0.49
interpreter,0.461
interrelated,0.469
interstate,0.443
interstitial,0.471
interval,0.284
intestate,0.467
intestine,0.45
intonation,0.442
intramural,0.464
intrinsic,0.471
intrinsically,0.382
intro,0.331
introduction,0.413
introductory,0.368
introspection,0.337
introspective,0.36
invalid,0.33
invalidate,0.48
invalidation,0.49
invalidity,0.394
invariably,0.365
inventory,0.463
inverse,0.337
inversely,0.418
inverted,0.471
invisibility,0.461
invisible,0.345
invoice,0.38
involuntary,0.49
involution,0.42
involve,0.49
inwards,0.385
iodine,0.265
ion,0.33
iota,0.385
iris,0.275
iron,0.351
irons,0.441
irreducible,0.455
irrelevant,0.311
irrigate,0.458
irrigation,0.426
island,0.347
isle,0.39
islet,0.314
isolate,0.422
isolated,0.356
isolation,0.338
isomorphism,0.361
isothermal,0.491
isotope,0.404
item,0.27
items,0.401
iterate,0.46
iteration,0.449
iterative,0.42
ivory,0.235
jack,0.45
jacket,0.302
jackrabbit,0.379
jacks,0.4
jade,0.41
jag,0.44
jagged,0.462
jalopy,0.436
janitor,0.35
janitorial,0.373
japan,0.482
jar,0.346
jasmine,0.23
jasper,0.425
jaundice,0.48
jaunt,0.451
java,0.321
javelin,0.481
jawbone,0.413
jay,0.408
jazz,0.362
jazzy,0.431
jean,0.444
jeans,0.324
jelly,0.294
jellybean,0.406
jenny,0.406
jersey,0.317
jesus,0.4
jetty,0.48
jeweler,0.482
jib,0.42
jiff,0.404
jiffy,0.444
jig,0.396
jimmy,0.321
jockstrap,0.431
john,0.382
join,0.479
joined,0.394
joining,0.469
joint,0.392
jointly,0.425
jot,0.323
jour,0.394
journal,0.24
journalist,0.452
journalistic,0.449
jovial,0.46
judicious,0.432
jug,0.25
juice,0.281
juke,0.491
jumper,0.336
jumpsuit,0.365
junction,0.481
junior,0.343
juniper,0.327
junk,0.481
junkyard,0.398
juridical,0.431
jurisprudence,0.425
justifiable,0.413
justification,0.444
justify,0.473
juststop,0.379
justthebeginning,0.451
jute,0.216
juvenile,0.49
kale,0.226
kaleidoscope,0.439
kangaroo,0.333
kanji,0.413
kappa,0.375
kaput,0.441
karmic,0.459
kazoo,0.462
kebab,0.431
keel,0.417
keep,0.296
keeper,0.457
keeping,0.28
keepsake,0.307
keg,0.389
kelp,0.264
ken,0.409
kennel,0.48
kerchief,0.189
kern,0.42
kernel,0.453
kerosene,0.472
ketchup,0.338
kettle,0.497
key,0.275
keyboard,0.279
keyed,0.497
keyhole,0.358
keynote,0.431
keypad,0.255
keystone,0.438
khaki,0.252
khan,0.476
kibble,0.458
kid,0.453
kiddo,0.393
kiddos,0.48
kidney,0.363
kiln,0.423
kilo,0.358
kilogram,0.26
kilometer,0.439
kilt,0.346
kimono,0.28
kin,0.441
kind,0.24
kindergarten,0.462
kindness,0.35
kindred,0.418
kinematics,0.48
kinesiology,0.48
kinship,0.3
kiosk,0.286
kirk,0.39
kit,0.344
kitchen,0.234
kitten,0.343
kiwi,0.273
klutz,0.451
knapsack,0.317
knead,0.457
knee,0.245
kneecap,0.36
kneel,0.417
kneeling,0.435
knickers,0.428
knight,0.441
knit,0.144
knob,0.36
knoll,0.347
knot,0.221
knots,0.346
knotted,0.412
know,0.361
knowing,0.353
knowingly,0.459
knowledge,0.43
knowledgeable,0.455
knuckle,0.333
knucklehead,0.485
knuckles,0.461
koala,0.21
kook,0.471
kool-aid,0.318
kos,0.471
kosher,0.443
kris,0.417
kumquat,0.426
label,0.245
laboratory,0.49
labored,0.451
lac,0.418
lace,0.2
lack,0.365
lacking,0.375
lackluster,0.311
lacquer,0.353
lactose,0.29
lad,0.388
ladder,0.438
laden,0.478
lading,0.463
ladle,0.368
lady,0.481
lady bug,0.434
ladybug,0.4
ladyship,0.48
lag,0.375
lager,0.48
lagoon,0.231
lair,0.438
laity,0.32
lake,0.196
lama,0.32
lamb,0.284
lame,0.41
lament,0.398
lamenting,0.39
lamina,0.314
laminated,0.304
lamp,0.26
lamppost,0.337
land,0.26
landfall,0.434
landfill,0.423
landlady,0.303
landlocked,0.391
landmark,0.355
lands,0.28
landscape,0.176
landscaping,0.379
lane,0.49
language,0.337
languid,0.27
languish,0.408
languishing,0.459
lanky,0.426
lantern,0.25
lapdog,0.49
lapel,0.287
lapse,0.316
lapsed,0.333
laptop,0.27
lard,0.239
larder,0.29
largo,0.48
lark,0.292
larva,0.423
larynx,0.42
lasagna,0.441
lasso,0.46
latch,0.263
late,0.358
lateness,0.388
lateral,0.37
laterally,0.255
latex,0.413
lathe,0.45
lather,0.327
latitude,0.306
latrine,0.353
latrines,0.462
latte,0.32
lattice,0.42
laud,0.427
laudable,0.472
laudatory,0.417
launder,0.45
laundering,0.327
laundry,0.292
laureate,0.402
laurel,0.146
laurels,0.279
lavage,0.467
lavatory,0.4
lavender,0.198
lawful,0.394
lawn,0.153
lax,0.401
lay,0.336
layer,0.208
layered,0.306
layman,0.339
layout,0.442
layover,0.355
laziness,0.24
lazy,0.264
lazyday,0.319
lea,0.294
leads,0.471
leaf,0.156
leaflet,0.206
league,0.34
lean,0.353
leaned,0.373
leaning,0.409
learned,0.462
learner,0.475
lease,0.463
leash,0.347
leather,0.324
leathery,0.471
leave,0.315
leavemealone,0.472
lecture,0.462
ledge,0.235
ledger,0.362
lee,0.269
leer,0.348
left,0.37
leftout,0.365
leftover,0.46
leftovers,0.35
lefty,0.406
leg,0.373
legal,0.387
legality,0.343
legalize,0.46
legalized,0.44
legally,0.482
legibility,0.481
legible,0.279
legislation,0.418
legislative,0.365
legislature,0.435
legit,0.427
legitimacy,0.42
legitimate,0.363
lego,0.294
legs,0.407
legume,0.302
leisure,0.429
leisurely,0.25
lemma,0.284
lemon,0.317
lemonade,0.287
lend,0.461
length,0.308
lengthen,0.481
lengthwise,0.47
lengthy,0.342
leniency,0.436
lenient,0.451
lens,0.245
leotard,0.429
leprechaun,0.48
less,0.24
lessee,0.474
lessen,0.284
lessening,0.3
lesser,0.167
lessor,0.49
let,0.373
lethargic,0.245
lethargy,0.302
letter,0.279
lettered,0.361
letterhead,0.316
lettering,0.18
letters,0.327
lettuce,0.163
levee,0.324
level,0.277
lever,0.343
levy,0.42
lexicon,0.463
ley,0.389
liaison,0.337
librarian,0.135
library,0.122
