term,valence
genital,0.385
genitalia,0.323
genocide,0.02
geometry,0.49
gerbil,0.453
geriatric,0.479
germ,0.265
german,0.438
germination,0.439
germs,0.135
getoverit,0.327
getoveryourself,0.47
getyourown,0.469
ghastly,0.125
ghetto,0.302
ghost,0.265
ghostly,0.26
ghoul,0.26
gibberish,0.375
giddy,0.438
gigolo,0.4
gills,0.479
gimmick,0.38
gimp,0.469
gin,0.449
ginger,0.406
girder,0.388
gizzard,0.422
glabrous,0.413
glacial,0.439
gland,0.396
glass,0.49
glaucoma,0.208
glean,0.398
glib,0.438
glitch,0.444
gloom,0.135
gloomy,0.107
glue,0.45
glum,0.244
glut,0.417
gluten,0.385
glutton,0.438
glycerin,0.427
gnat,0.357
gnome,0.429
goat,0.448
goatee,0.479
gob,0.28
gobble,0.39
goblin,0.333
goddamn,0.125
goddamned,0.042
godforsaken,0.439
godless,0.316
gofuckyourself,0.167
gone,0.292
goner,0.41
gong,0.49
gonorrhea,0.106
goo,0.439
goober,0.469
goodbye,0.24
gooey,0.392
goof,0.448
goofy,0.281
goon,0.312
goop,0.469
goose,0.479
gopher,0.449
gore,0.26
gorge,0.365
gory,0.14
gossip,0.173
gothic,0.197
gouge,0.396
gourd,0.427
gout,0.354
governess,0.426
government,0.427
grab,0.448
gradation,0.487
gradient,0.48
graft,0.41
grain,0.39
grand theft auto,0.493
granular,0.478
granule,0.406
graphite,0.479
grapple,0.49
grappling,0.448
grasping,0.327
grate,0.333
grated,0.357
grave,0.153
gravel,0.39
graver,0.102
graveyard,0.041
gravitate,0.479
gray,0.335
grease,0.255
greased,0.25
greaser,0.408
greasy,0.399
great disgust,0.042
greatly negative,0.051
greed,0.173
greedy,0.125
green bean,0.469
green snake,0.229
grenade,0.281
grey,0.347
grief,0.07
grievance,0.092
grieve,0.122
grieved,0.104
grieving,0.093
grievous,0.146
griffin,0.418
grille,0.337
grim,0.31
grime,0.198
grimy,0.112
grind,0.48
grinder,0.459
grinding,0.415
gripe,0.184
grisly,0.083
grist,0.317
grit,0.449
grits,0.458
gritty,0.417
grizzly,0.398
groan,0.396
groggy,0.235
groin,0.296
grope,0.42
gross,0.115
grotesque,0.135
grouch,0.342
grouchy,0.143
ground,0.398
groundhog,0.385
groundless,0.333
grouse,0.448
grout,0.405
grovel,0.36
growl,0.194
growling,0.119
growls,0.125
growthefuckup,0.229
grr,0.229
grrr,0.271
grrrrr,0.281
grubby,0.156
grudge,0.115
grudging,0.092
grudgingly,0.156
gruel,0.382
grueling,0.18
gruesome,0.094
gruff,0.323
grumble,0.101
grump,0.26
grumpy,0.198
grunt,0.286
grunting,0.198
guano,0.296
guards,0.448
guerilla,0.146
guerrilla,0.219
guesswork,0.417
guidelines,0.459
guile,0.41
guillotine,0.163
guilt,0.208
guilty,0.135
gules,0.469
gullet,0.385
gullible,0.44
gully,0.316
gumption,0.48
gun,0.147
gunboat,0.139
gunfight,0.051
gunfighter,0.156
gunfire,0.156
gunk,0.25
gunman,0.167
gunmen,0.073
gunner,0.25
gunnery,0.281
gunplay,0.133
gunpoint,0.188
gunpowder,0.425
gunshot,0.042
gunslinger,0.316
gurney,0.408
gusher,0.406
gusset,0.427
gust,0.49
gut,0.408
gutless,0.25
gutter,0.466
guzzler,0.393
guzzling,0.46
gynecology,0.408
gypsy,0.375
hack,0.135
hacker,0.271
hacksaw,0.406
hadenough,0.323
hag,0.188
haggard,0.115
haggle,0.48
hail,0.459
hairball,0.37
hairbrush,0.454
hairless,0.136
hairline,0.418
hairpin,0.459
hale,0.479
halfback,0.49
halftime,0.458
halibut,0.449
hallucination,0.396
halo,0.49
halt,0.167
halter,0.448
halting,0.255
halve,0.316
halving,0.292
hammer,0.312
hammerhead,0.337
hammering,0.347
hamper,0.204
hamstring,0.406
handcuff,0.31
handgun,0.156
handicap,0.133
handicapped,0.204
handler,0.439
hang,0.323
hangar,0.49
hanger,0.439
hanging,0.378
hangman,0.153
hangover,0.188
hangry,0.219
hanky,0.46
haphazard,0.469
hapless,0.271
harass,0.16
harassing,0.12
harassment,0.083
harbinger,0.49
hard,0.302
hardcore,0.25
harden,0.276
hardened,0.406
hardening,0.388
hardheaded,0.156
hardness,0.417
hardship,0.094
hardwood,0.417
harebrained,0.296
harlot,0.198
harm,0.073
harmful,0.094
harper,0.417
harpoon,0.49
harrowing,0.209
harsh,0.25
harshness,0.323
hash,0.344
hashish,0.37
hassle,0.177
haste,0.378
hastily,0.271
hasty,0.188
hatch,0.479
hatchet,0.333
hate,0.031
hateeee,0.219
hateeveryone,0.041
hateful,0.071
hater,0.052
hateyou,0.125
hating,0.083
hatred,0.037
haughty,0.24
haunt,0.288
haunted,0.264
havoc,0.163
haw,0.406
hay,0.469
haywire,0.358
hazard,0.112
hazardous,0.061
haze,0.427
hazmat,0.398
hazy,0.45
headache,0.168
headaches,0.104
headless,0.136
headlock,0.448
headlong,0.354
headstone,0.24
headstrong,0.31
heady,0.448
hearsay,0.288
hearse,0.177
heart disease,0.25
heartache,0.088
heartattack,0.156
heartbreak,0.208
heartbreaker,0.265
heartbreaking,0.146
heartbroken,0.082
heartburn,0.143
heartless,0.071
heartsick,0.24
heartworm,0.333
heated,0.479
heathen,0.194
heaviness,0.219
heaving,0.201
heavy,0.25
heavy metal,0.417
heavyweight,0.429
heck,0.24
hectic,0.167
hedgehog,0.458
hee,0.43
heel,0.48
hegemonic,0.462
heifer,0.439
heinous,0.133
heist,0.184
helical,0.379
helium,0.49
hell,0.02
hellfire,0.143
hellhole,0.2
hellish,0.125
helmsman,0.49
helpless,0.104
helplessness,0.087
hematite,0.448
hematoma,0.146
hemlock,0.438
hemoglobin,0.469
hemorrhage,0.031
hemorrhoids,0.133
hemostat,0.388
hemp,0.469
hen,0.385
hepatitis,0.055
heresy,0.265
heretic,0.09
heretical,0.229
heretofore,0.479
herewith,0.45
hermaphrodite,0.48
hermeneutics,0.406
hermit,0.271
hernia,0.146
heroin,0.276
herpes,0.11
herpesvirus,0.219
hertz,0.396
hesitant,0.333
hesitate,0.459
hesitating,0.265
hesitation,0.286
heterogeneity,0.439
hew,0.417
hex,0.41
hiatus,0.479
hibernation,0.469
hiccup,0.271
hick,0.357
hickey,0.448
hidden,0.208
hide,0.438
hideaway,0.448
hideous,0.091
hideout,0.337
hiding,0.25
hieroglyphics,0.479
hightail,0.448
hijack,0.042
hijacker,0.104
hilt,0.396
hind,0.483
hinder,0.276
hindering,0.26
hindrance,0.135
hindsight,0.333
hinge,0.458
hip,0.448
hippo,0.49
hirsute,0.385
hiss,0.388
histology,0.49
hit,0.235
hitchhike,0.396
hitherto,0.448
hitter,0.418
hive,0.471
hives,0.417
hoarse,0.281
hoary,0.469
hoax,0.146
hobbit,0.479
hobo,0.323
hoe,0.302
hog,0.317
hogwash,0.42
hold,0.448
holdup,0.398
holler,0.276
hollow,0.3
holocaust,0.062
homeless,0.042
homeopathic,0.417
homeopathy,0.469
homesick,0.436
homework,0.396
homicidal,0.02
homicide,0.01
hominy,0.479
homologous,0.471
homophobic,0.13
homosexual,0.333
homosexuality,0.367
honcho,0.469
honky,0.458
hooch,0.429
hood,0.357
hooded,0.306
hoodlum,0.354
hoof,0.427
hook,0.418
hooker,0.214
hooky,0.468
hooligan,0.295
hoot,0.449
hooter,0.47
hop,0.45
hopeless,0.094
hopelessness,0.052
hopper,0.396
horde,0.286
hormone,0.49
horn,0.385
horned,0.316
hornet,0.398
horny,0.49
horrendous,0.073
horrible,0.071
horribly,0.05
horrid,0.052
horrific,0.094
horrified,0.04
horrifying,0.01
horror,0.115
horrors,0.061
horseman,0.441
horseradish,0.321
horseshit,0.153
hose,0.469
hospice,0.337
hospital,0.323
hostage,0.163
hostel,0.479
hostile,0.188
hostilities,0.276
hostility,0.122
hot,0.49
hot sauce,0.333
hothead,0.24
hound,0.417
hourly,0.469
houseboy,0.479
housework,0.484
hovel,0.333
howl,0.357
howsoever,0.459
hub,0.479
huff,0.388
huffy,0.42
hulk,0.46
hum,0.49
humbled,0.28
humbug,0.219
humdrum,0.269
humid,0.375
humidity,0.464
humiliate,0.052
humiliated,0.104
humiliating,0.062
humiliation,0.048
humongous,0.378
hump,0.296
humpback,0.235
hunchback,0.208
hundredth,0.427
hunger,0.083
hungry,0.083
hunk,0.438
hunks,0.417
hunky,0.469
hunt,0.327
hunter,0.292
hunting,0.448
huntress,0.357
hurdle,0.198
hurl,0.316
hurricane,0.177
hurricanes,0.286
hurried,0.314
hurry,0.422
hurryup,0.473
hurt,0.062
hurtful,0.104
hurting,0.153
hush,0.471
hushed,0.292
husk,0.378
hussy,0.219
hustle,0.406
hustler,0.26
hutch,0.385
hyacinth,0.372
hydra,0.406
hydrocephalus,0.286
hydrogen,0.469
hydrographic,0.49
hydrophobia,0.323
hyena,0.396
hymen,0.469
hyperbole,0.469
hypertension,0.133
hypertrophy,0.312
hyperventilate,0.347
hyperventilating,0.164
hypnosis,0.417
hypnotist,0.49
hypnotize,0.469
hypnotized,0.449
hypochondriac,0.194
hypocrisy,0.156
hypocrite,0.082
hypocritical,0.048
hypodermic,0.24
hypothermia,0.184
hypothetical,0.48
hysterectomy,0.178
hysteria,0.224
hysterical,0.29
ibuprofen,0.448
ice,0.44
iceberg,0.344
icky,0.357
id,0.449
idiocy,0.112
idiot,0.086
idiotic,0.104
idiots,0.143
idle,0.179
idleness,0.308
idler,0.2
idolatry,0.365
iffy,0.38
ifonly,0.406
igneous,0.469
ignite,0.458
ignition,0.365
ignorance,0.153
ignorant,0.102
ignore,0.146
ihatespiders,0.245
ilk,0.438
ill,0.073
illegal,0.061
illegality,0.094
illegally,0.133
illegible,0.296
illegitimate,0.184
illicit,0.188
illiterate,0.12
illness,0.098
illogical,0.208
imbalance,0.115
imbecile,0.082
imbedded,0.406
imissyou,0.48
imitate,0.469
imitated,0.333
imitation,0.406
immaterial,0.296
immature,0.114
immaturity,0.146
immemorial,0.327
immigrant,0.357
immigration,0.39
imminent,0.49
immobile,0.225
immoral,0.143
immorality,0.188
immovable,0.48
immutable,0.427
imp,0.35
impact,0.469
impair,0.153
impaired,0.13
impairment,0.17
impassable,0.342
impatience,0.278
impatient,0.25
impatiently,0.194
impeach,0.208
impeachment,0.163
impede,0.271
impediment,0.163
impending,0.48
imperceptible,0.378
imperfect,0.173
imperfection,0.19
imperfectly,0.297
imperialist,0.284
impermissible,0.188
impersonal,0.316
impersonation,0.375
impersonator,0.469
impertinence,0.17
impertinent,0.219
implant,0.429
implantation,0.396
implanted,0.347
implicate,0.25
implicated,0.354
implication,0.337
implied,0.327
implore,0.396
implosion,0.412
impolite,0.167
imposing,0.392
imposition,0.357
impossibility,0.17
impossible,0.153
impostor,0.135
impotence,0.198
impotent,0.146
impound,0.23
impoverished,0.125
impracticable,0.398
impractical,0.16
impregnable,0.378
imprison,0.112
imprisoned,0.032
imprisonment,0.133
improbable,0.097
improper,0.229
impropriety,0.133
imprudent,0.17
impudence,0.214
impudent,0.302
impulsive,0.365
impunity,0.313
impure,0.26
impurity,0.173
imputation,0.333
imtryingtosleep,0.438
inability,0.15
inaccessible,0.083
inaccurate,0.135
inaction,0.323
inactivate,0.245
inactivation,0.198
inactive,0.271
inactivity,0.135
inadequacy,0.286
inadequate,0.122
inadequateness,0.24
inadmissible,0.188
inadvertent,0.365
inadvertently,0.302
inaffable,0.388
inalienable,0.437
inane,0.271
inanimate,0.281
inapplicable,0.281
inappropriate,0.135
inattention,0.208
inaudible,0.28
inbred,0.397
incalculable,0.449
incandescent,0.354
incantation,0.439
incapable,0.156
incapacity,0.052
incarceration,0.1
incendiary,0.281
incensed,0.338
incessant,0.438
incessantly,0.417
incest,0.073
incestuous,0.188
inch,0.481
incidence,0.417
incident,0.084
incidental,0.281
incidentally,0.479
incineration,0.229
incinerator,0.25
incipient,0.442
incision,0.24
incisive,0.38
incite,0.449
incitement,0.302
inclement,0.26
inclination,0.378
incline,0.49
inclined,0.469
incoherent,0.122
incompatible,0.196
incompetence,0.077
incompetent,0.133
incomplete,0.153
incompletely,0.344
incompleteness,0.271
incomprehensible,0.25
inconceivable,0.198
inconclusive,0.153
incongruous,0.177
inconsequential,0.25
inconsiderate,0.224
inconsistency,0.125
inconsistent,0.271
incontinence,0.15
inconvenience,0.063
inconvenient,0.224
incorrect,0.14
incorrigible,0.13
incredulous,0.286
incriminate,0.188
incriminating,0.133
incrimination,0.152
incubation,0.461
incubus,0.458
incumbent,0.396
incur,0.312
incurable,0.104
indebted,0.138
indecency,0.135
indecent,0.083
indecision,0.184
indecisive,0.271
indefensible,0.173
indefinite,0.448
indelible,0.49
indemnify,0.449
indemnity,0.47
indent,0.479
indentation,0.374
indenture,0.434
indescribable,0.448
indeterminate,0.36
index,0.448
indice,0.469
indict,0.188
indictment,0.245
indie,0.479
indifference,0.265
indifferent,0.396
indigent,0.156
indigestion,0.204
indignant,0.26
indignation,0.173
indignity,0.167
indirect,0.385
indiscreet,0.177
indiscretion,0.265
indisposed,0.122
indistinct,0.255
indistinguishable,0.346
indoctrination,0.327
indolent,0.177
indomitable,0.458
induce,0.257
induced,0.397
induction,0.392
indulgence,0.479
industrial,0.469
ineffective,0.093
ineffectual,0.163
inefficiency,0.092
inefficient,0.19
inelastic,0.396
ineligible,0.143
inept,0.156
ineptitude,0.177
inequality,0.122
inequitable,0.281
inert,0.323
inertia,0.344
inevitable,0.316
inexact,0.153
inexcusable,0.271
inexperience,0.208
inexperienced,0.281
inexplicable,0.224
inexpressible,0.198
infamous,0.146
infamy,0.177
infanticide,0.167
infarct,0.08
infeasible,0.245
infect,0.102
infection,0.083
infectious,0.142
infer,0.449
inference,0.359
inferential,0.426
inferior,0.26
inferiority,0.177
infernal,0.083
inferno,0.051
infertile,0.274
infertility,0.17
infestation,0.256
infidel,0.177
infidelity,0.062
infiltrate,0.408
infiltration,0.265
infinitesimal,0.388
infirm,0.115
infirmity,0.094
inflammation,0.146
inflammatory,0.177
inflate,0.305
inflated,0.303
inflation,0.219
inflection,0.385
inflict,0.167
infliction,0.302
inflorescence,0.459
influenza,0.271
infomercial,0.427
informal,0.48
infraction,0.245
infrared,0.469
infrequent,0.312
infrequently,0.204
infringement,0.153
infuriate,0.102
infuriated,0.073
infuriates,0.135
infuriating,0.139
infuse,0.38
infused,0.385
infuser,0.469
ingestion,0.429
ingrate,0.235
inhabiting,0.458
inhale,0.427
inhaler,0.408
inhibit,0.167
inhibition,0.265
inhibitor,0.281
inhospitable,0.265
inhuman,0.107
inhumane,0.104
inhumanity,0.143
inimical,0.26
iniquity,0.219
inject,0.406
injection,0.281
injunction,0.281
injure,0.177
injured,0.083
injuring,0.073
injurious,0.177
injury,0.049
injustice,0.082
ink,0.471
inkling,0.448
inlay,0.406
inmate,0.235
innards,0.302
innate,0.49
innuendo,0.467
inoculation,0.333
inoperable,0.184
inoperative,0.138
inordinate,0.163
inorganic,0.385
inquest,0.458
inquiring,0.479
inquisitive,0.301
inquisitor,0.385
insane,0.062
insanity,0.098
insatiable,0.375
inscrutable,0.459
insect,0.276
insecticide,0.188
insecure,0.114
insecurity,0.094
insensitive,0.219
insert,0.481
inserted,0.479
insidious,0.146
insignificance,0.25
insignificant,0.083
insinuate,0.292
insipid,0.214
insistence,0.418
insists,0.49
insolence,0.115
insolent,0.112
insoluble,0.439
insolvency,0.323
insolvent,0.23
insomnia,0.198
insomniac,0.231
inspect,0.479
inspection,0.459
inspector,0.418
instability,0.177
instigate,0.278
instigation,0.323
insubordination,0.281
insufferable,0.22
insufficiency,0.115
insufficient,0.188
insufficiently,0.147
insulate,0.365
insulated,0.208
insulation,0.245
insulin,0.429
insult,0.085
insulting,0.094
insurgent,0.235
insurrection,0.229
intended,0.406
intentionally,0.45
intercept,0.221
interception,0.327
interchanged,0.396
interdependent,0.41
interdiction,0.337
interfere,0.323
interference,0.396
interject,0.333
interlocutory,0.49
interlude,0.47
intermediary,0.427
intermediate,0.48
interment,0.235
interminable,0.327
intermission,0.49
intermittent,0.337
intern,0.459
internal,0.439
interoffice,0.439
interpolate,0.46
interpolation,0.419
interrogate,0.323
interrogation,0.302
interrupt,0.21
interrupted,0.281
interrupting,0.146
interruption,0.184
interrupts,0.204
intersection,0.344
interstitial,0.333
intervening,0.398
intervention,0.388
intestate,0.459
intestinal,0.357
intestine,0.343
intestines,0.292
intimation,0.406
intimidate,0.21
intimidated,0.177
intimidating,0.229
intimidation,0.177
intolerable,0.146
intolerance,0.052
intolerant,0.135
intoxicated,0.079
intoxicating,0.224
intoxication,0.323
intracranial,0.281
intractable,0.154
intramural,0.49
intravenous,0.357
intrigue,0.362
intriguing,0.422
intrinsic,0.406
intrinsically,0.459
intrude,0.058
intruder,0.146
intrusion,0.293
intrusive,0.461
intubation,0.276
inundation,0.177
invade,0.408
invader,0.2
invalid,0.18
invalidate,0.315
invalidation,0.181
invalidity,0.186
invariably,0.458
invasion,0.271
invasive,0.194
inverse,0.459
inversely,0.286
inverted,0.31
invidious,0.112
invisibility,0.438
invisible,0.417
invocation,0.43
invoice,0.48
involuntary,0.354
involution,0.296
inwards,0.49
iodine,0.39
ion,0.429
iota,0.344
irate,0.188
ire,0.198
irked,0.164
irks,0.276
iron,0.448
ironic,0.435
irony,0.39
irradiation,0.385
irrational,0.125
irrationality,0.198
irreconcilable,0.146
irreducible,0.296
irrefutable,0.496
irregular,0.312
irregularity,0.104
irregularly,0.292
irrelevant,0.138
irreparable,0.061
irreplaceable,0.479
irrespective,0.497
irresponsible,0.177
irreverent,0.191
irreversible,0.17
irrevocable,0.296
irrigate,0.272
irrigation,0.259
irritability,0.146
irritable,0.112
irritate,0.167
irritated,0.21
irritates,0.173
irritating,0.104
irritation,0.073
isolate,0.235
isolated,0.221
isolation,0.198
isomorphism,0.448
isothermal,0.459
isotope,0.429
issue,0.316
itch,0.319
itching,0.208
itchy,0.334
itemize,0.459
iterate,0.449
iterative,0.429
itinerant,0.449
jab,0.385
jabber,0.417
jack,0.487
jackal,0.333
jackass,0.188
jackhammer,0.199
jacks,0.49
jaded,0.255
jag,0.408
jagged,0.082
jail,0.094
jailbird,0.24
jailbreak,0.354
jailer,0.194
jailhouse,0.104
jalopy,0.396
jammed,0.235
jammer,0.417
janitorial,0.49
jar,0.43
jargon,0.333
jarhead,0.408
jarring,0.21
jasper,0.48
jaundice,0.214
java,0.459
javelin,0.385
jawbone,0.468
jaws,0.385
jealous,0.173
jealousy,0.146
jeering,0.266
jeopardize,0.26
jeopardy,0.129
jerk,0.194
jerks,0.214
jerky,0.233
jester,0.388
jib,0.406
jiffy,0.41
jihad,0.323
jinx,0.337
jitters,0.224
jittery,0.344
jockstrap,0.347
jogger,0.417
jolt,0.365
jornada,0.417
jot,0.406
jour,0.479
judged,0.281
judging,0.24
judgment,0.396
judgmental,0.33
judicial,0.378
judiciary,0.439
jugular,0.271
jumble,0.357
jumbled,0.292
jumpy,0.353
junction,0.49
juncture,0.365
junk,0.115
junket,0.49
junkie,0.135
junky,0.385
junkyard,0.177
junta,0.451
jurisdiction,0.48
jurisprudence,0.36
jurist,0.479
jury,0.479
juststop,0.417
juxtaposition,0.427
kaiser,0.47
kale,0.469
kamikaze,0.204
kappa,0.469
kaput,0.281
karmic,0.357
keel,0.344
kelp,0.479
ken,0.438
kennel,0.43
kern,0.438
kerosene,0.302
kettle,0.357
keyed,0.469
keyhole,0.438
khan,0.463
kick,0.271
kickboxing,0.427
kicker,0.427
kicking,0.327
kidnap,0.032
kidnapped,0.044
kidnapper,0.115
kidnapping,0.094
kidney,0.448
kill,0.052
killer,0.041
killing,0.08
killjoy,0.178
kiln,0.451
kilo,0.438
kilometer,0.49
kilt,0.448
kinesiology,0.491
king snake,0.458
kingpin,0.357
kink,0.337
kinky,0.449
klutz,0.275
knead,0.49
kneecap,0.427
kneel,0.426
kneeling,0.245
knell,0.354
knick,0.48
knife,0.344
knob,0.34
knock,0.312
knockoff,0.35
knockout,0.388
knoll,0.434
knots,0.418
knotted,0.226
knucklehead,0.157
knuckles,0.271
kook,0.417
kooky,0.418
kosher,0.469
kraut,0.388
kris,0.427
kryptonite,0.306
kumquat,0.417
lab,0.479
laborious,0.393
labyrinth,0.479
lac,0.408
laceration,0.143
lack,0.25
lackey,0.26
lacking,0.229
lackluster,0.25
lactose,0.479
laden,0.392
lading,0.388
lady bug,0.49
lag,0.22
lagging,0.135
lair,0.469
lame,0.145
lament,0.198
lamenting,0.156
laminated,0.417
lamppost,0.42
lance,0.406
lancer,0.417
landfill,0.398
landlocked,0.28
landslide,0.25
lane,0.449
languid,0.281
languish,0.235
languishing,0.308
lanky,0.412
lapdog,0.388
lapel,0.46
lapse,0.42
lapsed,0.357
larceny,0.272
lard,0.427
larva,0.245
laryngitis,0.125
larynx,0.46
laser,0.469
lash,0.235
lasso,0.438
lastday,0.309
lastminute,0.418
latch,0.395
late,0.245
lateness,0.214
latent,0.469
lateral,0.469
latex,0.479
latrine,0.38
latrines,0.214
lattice,0.406
laud,0.493
laughingstock,0.427
launches,0.49
launder,0.479
laundering,0.439
lava,0.28
lawless,0.219
lawlessness,0.156
lawnmower,0.48
lawsuit,0.219
lax,0.43
laxative,0.271
layaway,0.429
laziness,0.271
lazy,0.392
lazyday,0.337
lead,0.323
leaded,0.439
leaflet,0.49
leak,0.378
leakage,0.188
leaky,0.17
leaning,0.48
leash,0.32
leathery,0.418
leave,0.375
leavemealone,0.24
leaving,0.163
lecherous,0.135
ledge,0.406
leech,0.25
leeches,0.115
leery,0.337
lees,0.36
left,0.354
leftout,0.229
leftover,0.49
leftovers,0.219
lefty,0.49
legion,0.469
legislator,0.49
legs,0.479
lender,0.34
length,0.479
lengthened,0.448
lens,0.42
leper,0.075
leprechaun,0.417
leprosy,0.13
lesbian,0.385
lesbianism,0.327
lesion,0.24
less,0.265
lessee,0.417
lessen,0.235
lessening,0.375
lesser,0.396
let,0.427
lethal,0.156
lethargic,0.214
lethargy,0.194
letterhead,0.45
leukemia,0.094
lever,0.4
leverage,0.459
levy,0.438
lewd,0.188
liabilities,0.429
liar,0.042
libel,0.128
libelous,0.125
lice,0.133
lichen,0.418
lick,0.47
lid,0.49
lie,0.13
liege,0.479
lien,0.396
lieu,0.427
lifeless,0.042
lifer,0.427
lifesucks,0.167
ligament,0.49
ligation,0.344
ligature,0.478
lightheaded,0.347
lightning,0.429
limbo,0.385
limey,0.469
limit,0.427
limitation,0.19
limited,0.229
limp,0.393
lin,0.416
linebacker,0.49
lined,0.438
liner,0.469
linger,0.48
lingo,0.448
link,0.427
lint,0.388
liposuction,0.292
liquefaction,0.449
liquidate,0.327
liquidation,0.417
liquidator,0.354
lisp,0.365
listing,0.438
listless,0.219
lithium,0.417
lithosphere,0.473
litigant,0.219
litigate,0.26
litigation,0.388
litigator,0.429
litigious,0.36
litter,0.255
little,0.385
liturgy,0.49
liver,0.439
livid,0.469
lizard,0.378
llama,0.49
lml,0.448
load,0.385
loafer,0.235
loam,0.469
loath,0.135
loathe,0.094
loathful,0.068
loathing,0.083
loathsome,0.12
lobbyist,0.385
lobe,0.459
lobotomy,0.296
locale,0.449
localized,0.49
locator,0.48
loch,0.449
lock,0.271
locker,0.439
lockup,0.24
loco,0.306
locomotion,0.47
locust,0.479
lode,0.365
lodger,0.48
logarithmic,0.469
logo,0.469
logotype,0.48
loin,0.42
lone,0.198
loneliness,0.146
lonely,0.25
loner,0.347
lonesome,0.281
longitude,0.479
longtime,0.362
loo,0.385
looming,0.367
loon,0.429
loony,0.439
loophole,0.406
loopy,0.438
loosen,0.487
loosening,0.378
lop,0.429
lopsided,0.125
lose,0.115
loser,0.083
losing,0.076
loss,0.062
lost,0.199
loudmouth,0.337
loudness,0.35
loudspeaker,0.49
louse,0.184
lousy,0.125
loveless,0.102
low,0.292
lowdown,0.306
lower,0.327
lowering,0.286
lowest,0.312
lowlands,0.323
lowlife,0.296
lox,0.49
lsd,0.375
ludicrous,0.137
lug,0.344
lumbar,0.323
lumbering,0.354
lump,0.438
lumpy,0.271
lunacy,0.132
lunatic,0.125
lunge,0.354
lurch,0.404
lure,0.439
lurid,0.186
lurk,0.219
lurking,0.421
lust,0.469
lustful,0.427
lusty,0.469
lute,0.459
lye,0.378
lying,0.208
lymph,0.398
lymphatic,0.38
lymphoma,0.208
lynch,0.167
lynching,0.135
mace,0.45
machete,0.26
machinery,0.458
machinist,0.49
mackerel,0.418
mad,0.219
madden,0.329
madder,0.323
madhouse,0.156
madman,0.135
madness,0.104
mafia,0.204
maggot,0.235
magma,0.323
magnifier,0.469
maid,0.406
maim,0.133
makeshift,0.479
makesmemad,0.296
malady,0.19
malaise,0.15
malaria,0.125
malarkey,0.396
malevolent,0.094
malfeasance,0.062
malformation,0.083
malfunction,0.125
malice,0.073
malicious,0.177
malign,0.14
malignancy,0.149
malignant,0.143
maligned,0.102
mallet,0.354
malnutrition,0.024
malpractice,0.094
mammoth,0.48
mandamus,0.439
mandate,0.448
mandatory,0.271
mandrel,0.31
mange,0.311
mangle,0.292
mangy,0.214
manhole,0.378
manhunt,0.145
mania,0.29
maniac,0.12
maniacal,0.2
manic,0.054
manifestly,0.469
manipulate,0.255
manipulation,0.188
manipulative,0.177
mannequin,0.427
mannered,0.469
manslaughter,0.09
mantis,0.48
mantra,0.396
manure,0.25
marbled,0.396
marginal,0.235
marijuana,0.312
mark,0.491
marks,0.43
marl,0.372
maroon,0.469
marooned,0.229
marred,0.181
marrow,0.398
marsh,0.302
marshal,0.469
martial,0.48
martingale,0.469
martyr,0.281
martyrdom,0.323
mash,0.44
masked,0.375
masochism,0.194
masochist,0.164
masquerade,0.431
mass,0.458
massacre,0.031
mat,0.459
matador,0.224
materialism,0.22
materialist,0.255
materialistic,0.42
materiality,0.417
materially,0.49
math,0.417
mathematics,0.438
matted,0.281
matter,0.487
matting,0.479
maudlin,0.337
mausoleum,0.344
maverick,0.354
mayday,0.344
mayhem,0.188
mayor,0.469
maze,0.438
meager,0.144
mean,0.44
meander,0.48
meandering,0.427
meanie,0.388
meaningless,0.156
meanness,0.102
meantime,0.432
measles,0.092
measuring,0.448
measuring tape,0.337
meathead,0.306
mechanical,0.479
med,0.375
meddle,0.302
meddling,0.245
medial,0.458
median,0.459
medicate,0.417
mediocre,0.188
mediocrity,0.073
medley,0.487
meh,0.38
melancholic,0.181
melancholy,0.188
melodrama,0.378
melodramatic,0.235
melon,0.461
melt,0.448
membrane,0.406
menace,0.125
menacing,0.042
menial,0.49
meningitis,0.104
meniscus,0.323
menopause,0.204
menses,0.163
menstrual,0.408
mental,0.49
menthol,0.49
mercantile,0.48
mercenary,0.245
merciless,0.062
mercurial,0.49
mercury,0.337
mere,0.396
meridional,0.365
mescaline,0.49
mesh,0.429
meshes,0.44
mess,0.143
messedup,0.333
messy,0.26
metabolic,0.408
metallurgy,0.396
metastasis,0.177
meteor,0.398
meteorite,0.385
meter,0.438
meth,0.354
methadone,0.24
methane,0.29
methanol,0.292
metropolitan,0.387
mew,0.418
mezzanine,0.479
mick,0.449
microbe,0.255
microfilm,0.469
microgram,0.448
micron,0.375
microscopic,0.36
middle,0.458
midget,0.396
midline,0.332
midshipman,0.469
midst,0.324
midterm,0.427
midtown,0.479
midway,0.459
miffed,0.204
migraine,0.135
migrate,0.415
migration,0.492
migratory,0.448
mildew,0.344
militant,0.418
militants,0.26
military,0.396
militia,0.396
milligram,0.429
millimeter,0.427
mime,0.455
mimicking,0.316
mimicry,0.42
mince,0.417
mincemeat,0.396
mindless,0.184
minefield,0.188
miner,0.408
mini,0.421
miniature,0.429
minibus,0.439
minimal,0.448
minimize,0.36
minimized,0.458
minimum,0.38
minion,0.49
minor,0.25
minority,0.31
minstrel,0.458
minuscule,0.396
minutiae,0.323
minx,0.448
mir,0.417
mire,0.344
misappropriation,0.097
misbehave,0.02
